fk_pcg_version|pcg_type|pcg_subtype|account_parent|fk_accounting_category|account_number|label|cta_normal|cta_clase
PCBOL_BASE|ACTIVO|X|||1|ACTIVO O DERECHOS|D|
PCBOL_BASE|ACTIVO|X|||11|ACTIVO CORRIENTE|D|
PCBOL_BASE|ACTIVO|X|||111|DISPONIBLE|D|
PCBOL_BASE|ACTIVO|X|||11101|CAJA MONEDA NACIONAL|D|
PCBOL_BASE|ACTIVO|X|||1110101|Caja l|D|
PCBOL_BASE|ACTIVO|X|||11102|CAJA MONEDA EXTRANJERA|D|
PCBOL_BASE|ACTIVO|X|||1110201|Dólares Norteamericanos|D|
PCBOL_BASE|ACTIVO|X|||1110202|Euros|D|
PCBOL_BASE|ACTIVO|X|||11103|CAJA CHICA|D|
PCBOL_BASE|ACTIVO|X|||1110301|Caja Chica Administración|D|
PCBOL_BASE|ACTIVO|X|||1110302|Caja Chica Comercialización|D|
PCBOL_BASE|ACTIVO|X|||11103|BANCOS MONEDA NACIONAL|D|
PCBOL_BASE|ACTIVO|X|||1110301|Banco Nacional de Bolivia MN|D|
PCBOL_BASE|ACTIVO|X|||1110302|Banco Industrial SA. MN|D|
PCBOL_BASE|ACTIVO|X|||11104|BANCOS MONEDA EXTRANJERA|D|
PCBOL_BASE|ACTIVO|X|||1110401|Banco Nacional de Bolivia MN|D|
PCBOL_BASE|ACTIVO|X|||1110402|Banco Industrial SA. ME|D|
PCBOL_BASE|ACTIVO|X|||11105|CAJA DE AHORROS MN/ME|D|
PCBOL_BASE|ACTIVO|X|||1110501|Banco Nacional de Bolivia MN|D|
PCBOL_BASE|ACTIVO|X|||11106|DEPÓSITOS A PLAZO FIJO MN/ME|D|
PCBOL_BASE|ACTIVO|X|||1110601|Banco Nacional de Bolivia MN|D|
PCBOL_BASE|ACTIVO|X|||11107|INVERSIONES AL VALOR RAZONABLE Y DISPONIBLES PARA LA VENTA|D|
PCBOL_BASE|ACTIVO|X|||1110701|INVERSIONES AL VALOR RAZONABLE|D|
PCBOL_BASE|ACTIVO|X|||111070101|Valores emitidos o garantizados por el Estado|D|
PCBOL_BASE|ACTIVO|X|||111070102|Valores emitidos por el sistema financiero|D|
PCBOL_BASE|ACTIVO|X|||111070103|Valores emitidos por empresas|D|
PCBOL_BASE|ACTIVO|X|||111070104|Participaciones en entidades|D|
PCBOL_BASE|ACTIVO|X|||1110702|INVERSIONES DISPONIBLES PARA LA VENTA|D|
PCBOL_BASE|ACTIVO|X|||111070201|Valores emitidos o garantizados por el Estado|D|
PCBOL_BASE|ACTIVO|X|||111070202|Valores emitidos por el sistema financiero|D|
PCBOL_BASE|ACTIVO|X|||111070203|Valores emitidos por empresas|D|
PCBOL_BASE|ACTIVO|X|||1110703|Activos financieros - compromiso de compra|D|
PCBOL_BASE|ACTIVO|X|||112|CREDITOS O EXIGIBLES|D|
PCBOL_BASE|ACTIVO|X|||11201|CUENTAS POR COBRAR (CLIENTES)|D|
PCBOL_BASE|ACTIVO|X|||1120101|CUENTAS POR COBRAR EN CARTERA|D|
PCBOL_BASE|ACTIVO|X|||112010101|Cliente xx|D|
PCBOL_BASE|ACTIVO|X|||112010102|Cliente yy|D|
PCBOL_BASE|ACTIVO|X|||1120102|CUENTAS POR COBRAR EN COBRANZA|D|
PCBOL_BASE|ACTIVO|X|||112010201|Cliente xx|D|
PCBOL_BASE|ACTIVO|X|||112010202|Cliente yy|D|
PCBOL_BASE|ACTIVO|X|||11202|DOCUMENTOS POR COBRAR|D|
PCBOL_BASE|ACTIVO|X|||1120201|DOCUMENTOS POR COBRAR EN CARTERA|D|
PCBOL_BASE|ACTIVO|X|||112020101|Cliente xx|D|
PCBOL_BASE|ACTIVO|X|||112020102|Cliente yy|D|
PCBOL_BASE|ACTIVO|X|||1120202|DOCUMENTOS POR COBRAR EN COBRANZA|D|
PCBOL_BASE|ACTIVO|X|||112020201|Cliente xx|D|
PCBOL_BASE|ACTIVO|X|||112020202|Cliente yy|D|
PCBOL_BASE|ACTIVO|X|||1120203|DOCUMENTOS POR COBRAR EN DESCUENTO|D|
PCBOL_BASE|ACTIVO|X|||112020201|Cliente xx|D|
PCBOL_BASE|ACTIVO|X|||112020202|Cliente yy|D|
PCBOL_BASE|ACTIVO|X|||11203|COBRANZA DUDOSA|D|
PCBOL_BASE|ACTIVO|X|||1120301|Cuentas por cobrar|D|
PCBOL_BASE|ACTIVO|X|||1120302|Documentos por cobrar|D|
PCBOL_BASE|ACTIVO|X|||11204|CUENTAS POR COBRAR COMERCIALES - RELACIONADAS|D|
PCBOL_BASE|ACTIVO|X|||1120401|Matriz|D|
PCBOL_BASE|ACTIVO|X|||1120402|Subsidiarias|D|
PCBOL_BASE|ACTIVO|X|||1120403|Asociadas|D|
PCBOL_BASE|ACTIVO|X|||1120404|Sucursal|D|
PCBOL_BASE|ACTIVO|X|||1120405|Cobranza Dudosa|D|
