ref|label |hilo |item |login |fechaini |fechafin |detail |group |type |typename |unitprogram |unit |price 
GM-O-ACC-022|PROV Y COLOC DE TACHAS (OJOS DE GATO)|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|98.7
GM-O-ACC-023|PROVISION Y COLOCADO DE SE�ALIZACI�N VERTICAL  90 X 60 CM (NO REFLECTIVA)|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|699.79
GM-O-ACC-024|PROVISION Y COLOCADO DE SE�ALIZACI�N VERTICAL 60x60 CM Y 75x50 GRADO DIAMANTE|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|756.47
GM-O-ACC-026|"PROV. Y COLOC. LLAVE DE PASO CORTINA D= 4"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|778.83
GM-O-ACC-027|"PROVISION Y COLOCACION CAJA RECEPTORA DE PVC 6"" x 30 cm.			
"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|219.71
GM-O-ACC-029|"PROV Y COLOCADO YEE 4"". 3"". 3"" 90�. PARA DRENAJE DE CANCHAS DE PASTO SINTETICO	"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|159.06
GM-O-ACC-030|"PROV Y COLOCADO DE CODO 90� PVC C-9 D=4"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|914.64
GM-O-ACC-033|PROVISION Y COLOCACION DE BANCAS APERGOLADAS DE EXPOCISION|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|8446.68
GM-O-ACC-037|"PROVISION Y COLOCACION DE NIPLE PVC 3/4"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|12.26
GM-O-ACC-038|"PROVISION Y COLOCACION DE YEE C=9 D= 4"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|356.09
GM-O-ACC-039|"PROV. Y COLO. CODO FG 45� x 1"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|41.32
GM-O-ACC-040|INSTALACION DE COLUMNA SEMAFORICA PEATONAL|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|404.34
GM-O-ACC-041|"PROVISION Y COLOCACION DE YEE DE REDUCCION PVC 1"" - 3/4"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|24.57
GM-O-ACC-042|"PROVISION Y COLOCACION DE CODO 1"" PVC"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|20.66
GM-O-ACC-043|"PROVISION Y COLOCACION DE TEE 1"" PVC"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|22.13
GM-O-ACC-044|"PROV Y COLOC. LLAVE DE PASO TIPO CORTINA DE 1 1/2"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|149.27
GM-O-ACC-045|PROV. Y COLOC MACETA DE MELAMINA 15 MM SEGUN DISE�O|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|4536.65
GM-O-ACC-046|"PROV Y COLOC DE YEE DE REDUCCION  PVC C-9  4""x4""x2"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|66.36
GM-O-ACC-047|"PROV Y COLOC VALVULA ANGULAR 1/2"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|129
GM-O-ACC-048|"PROV Y COLOC DE CODO 90 1/2"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|17.39
GM-O-ACC-049|"PROV Y COLOC DE CODO 90 3/4"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|17.39
GM-O-ACC-050|"CODO PVC 45 DESAGUE DN 2"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|23.27
GM-O-ACC-051|"PROV Y COLOC YEE PVC  2""  x 2 "" x  2"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|25.6
GM-O-ACC-052|"PROV. Y COLOC TEE PVC 1/2"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|27.04
GM-O-ACC-053|"PROV Y COLOC REDUCCION DE 3/4""*1/2"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|33.1
GM-O-ACC-055|PROVISI�N E INSTALACI�N DE CAJA PEAD PLASTICA PARA CONEXION DOMICILIARIA DE 400 X 200 X 175 . ROTURA 1500 KG|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|255.65
GM-O-ACC-056|"PROV Y COLOC DE YEE  PVC 6""X4"" C-9"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|131.67
GM-O-ACC-058|"PROV Y COLOCADO DE CODO PVC 1"" E-40"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|20.83
GM-O-ACC-065|"PROV Y COLOC REDUCCION BUJE PVC 1 1/2"" x 3/4"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|23.35
GM-O-ACC-066|"PROV Y COLOC REDUCCION BUJE PVC 1 "" x 3/4"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|18.82
GM-O-ACC-067|"PROV E INST COLADOR DE BRONCE 1"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|95.14
GM-O-ACC-068|INSTALACION DE COLUMNA SEMAFORICA PEATONAL (NOCTURNO)|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|413.78
GM-O-ACC-069|"PROV Y COLOC CODO 45� PVC 4"" C-9"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|908.41
GM-O-ACC-070|"PROV Y COLOC DE REDUCCION DE F.G. 1"" A 3/4"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|29.03
GM-O-ACC-071|"PROV Y COLOC VALVULA DE RETENCION D= 1/2"" DE COBRE"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|113.91
GM-O-ACC-073|"PROV Y COLOC VALVULA DE RETENCION BR D= 1 1/2"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|211.86
GM-O-ACC-074|"PROV Y COLOC DE CODO D= 1/2"" DE COBRE"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|27.2
GM-O-ACC-075|"PROV Y COLOC DE CODO D= 3/4"" DE COBRE"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|54.12
GM-O-ACC-076|"PROV Y COLOC DE TEE D= 3/4"" DE COBRE"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|59.77
GM-O-ACC-077|"PROV Y COLOC DE TEE D= 1/2"" DE COBRE"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|36.51
GM-O-ACC-078|"PROV Y COLOC VALVULA ANGULAR 1/2"" DE COBRE"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|84.72
GM-O-ACC-079|"PROV Y COLOC DE REDUCCION DE COBRE 3/4"" A 1/2"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|47.53
GM-O-ACC-080|"PROV Y COLOC DE YEE DE �PVC 8"" a 6"" SDR 41 ANILLO DE GOMA"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|1254.99
GM-O-ACC-081|"PROV Y COLOC DE TEE PVC 1 1/2"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|46.83
GM-O-ACC-082|"PROV Y COLOC DE TEE PVC 2"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|64.12
GM-O-ACC-083|"PROV Y COLOC REDUCCION BUJE PVC 2 x 1 1/2"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|33.37
GM-O-ACC-084|"PROV Y COLOC UNION UNIVERSAL PVC 1"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|38.32
GM-O-ACC-085|"PROV Y COLOC UNION UNIVERSAL PVC 2"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|70.91
GM-O-ACC-086|"PROV Y COLOC NIPLE PVC 1"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|28.34
GM-O-ACC-087|"PROV Y COLOC NIPLE PVC 1 1/2"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|31.46
GM-O-ACC-088|"PROV Y COLOC NIPLE PVC 2"" ROSCA"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|35.81
GM-O-ACC-089|"PROV Y COLOC TAPON HEMBRA PVC 1"" ROSCA"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|19.84
GM-O-ACC-090|"PROV Y COLOC DE CODO D=2"" DE COBRE"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|339.99
GM-O-ACC-091|"PROV Y COLOC DE CODO D=1 1/2"" DE COBRE"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|223.28
GM-O-ACC-092|"PROV Y COLOC DE CODO D=1"" DE COBRE"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|139.02
GM-O-ACC-093|"PROV YCOLOC TEE D=2"" DE COBRE"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|337.16
GM-O-ACC-094|"PROV YCOLOC TEE D=1 1/2"" DE COBRE"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|269.42
GM-O-ACC-095|"PROV YCOLOC TEE D=1"" DE COBRE"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|151.26
GM-O-ACC-096|"PROV Y COLOC DE REDUCCION DE COBRE 2"" A 1 1/2"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|275.93
GM-O-ACC-097|"PROV Y COLOC DE REDUCCION DE COBRE 1 1/2"" A 1"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|195.94
GM-O-ACC-098|"PROV Y COLOC DE REDUCCION DE COBRE 1"" A 3/4"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|175.75
GM-O-ACC-099|"PROV Y COLOC VALVULA DE RETENCION D= 2"" DE COBRE"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|397.98
GM-O-ACC-100|"PROV Y COLOC VALVULA DE RETENCION D= 1 1/2"" DE COBRE"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|275.54
GM-O-ACC-101|"PROV Y COLOC VALVULA DE RETENCION D=1"" DE COBRE"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|167.97
GM-O-ACC-102|"PROV Y COLOCADO DE CODO PVC 4"" E-40"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|936.59
GM-O-ACC-103|"PROV Y COLOCADO DE CODO PVC 3"" E-40"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|563.16
GM-O-ACC-104|"PROV Y COLOC DE REDUCCION DE PVC 4"" A 2"" E=40"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|550.57
GM-O-ACC-105|"PROV Y COLOC DE REDUCCION DE PVC 2"" A 1 1/2"" E=40"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|37.14
GM-O-ACC-106|"PROV Y COLOC DE REDUCCION DE PVC  1 1/2"" A 1"" E=40"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|34.97
GM-O-ACC-107|"PROV Y COLOC VALVULA DE RETENCION BR D= 4"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|951.7
GM-O-ACC-108|"PROV Y COLOC VALVULA DE RETENCION BR D= 3"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|541.53
GM-O-ACC-109|"PROVISION Y COLOCACION DE CODO FG 90� 4"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|315.1
GM-O-ACC-110|"PROV Y COLOC TEE FG 4"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|392.36
GM-O-ACC-111|"PROV Y COLOC DE YEE DE REDUCCION  PVC C-9  4""x3"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|52.3
GM-O-ACC-112|"PROV Y COLOC DE CODO 90�. PVC 3"" C-9"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|535
GM-O-ACC-113|"PROV Y COLOC CODO 45� PVC DIAM DE 6"" SDR-41"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|329.57
GM-O-ACC-114|"PROV Y COLOC CODO 45� PVC DIAM DE 3"" C-9"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|545.94
GM-O-ACC-116|"PROV Y COLOC DE REDUCCION DE 8"" A 6"" DE PVC SDR-41"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|1118.09
GM-O-ACC-118|"PROV Y COLOC DE YEE DOBLE DE 6""x6""x8"" DE PVC SDR-41"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|377.88
GM-O-ACC-119|"PROV Y COLOC DE YEE DOBLE DE 4""x4""x6"" DE PVC SDR-41"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|252.79
GM-O-ACC-120|"PROV Y COLOC DE YEE DOBLE DE 3""x3""x4"" DE PVC C - 9"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|105.86
GM-O-ACC-121|"PROV Y COLOC DE REDUCCION DE 4"" A 3"" DE PVC  C-9"|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|572.27
GM-O-ACC-122|"PROVISION Y COLOCACION DE NIPLE HEXAGONAL BR 1 1/2"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|35.43
GM-O-ACC-123|PROV E INST DE ACCESORIOS DE DESARENADOR|1||jlmariaca|01/01/2017|01/01/2017||0|||1|UN|1559.56
GM-O-ACC-124|PROV Y COLOC DE REDUCCION DE 3� A 2� DE PVC C-9|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|476.8
GM-O-ACC-125|"PROV Y COLOC YEE PVC  6""  x 6 "" x  6"""|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|211.63
GM-O-ACC-126|PROV Y COLOC DE TEE PVC 3� E-40|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|817.74
GM-O-ACC-127|PROV Y COLOC DE TEE PVC 2� C-9|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|55.13
GM-O-ACC-128|PROV  Y COLOC  DE YEE REDUCCION  PVC 6? X 4?  SDR-35|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|725.92
GM-O-ACC-129|PROV Y COLOC DE YEE PVC 4? SDR 35|1||jlmariaca|01/01/2017|01/01/2017||0|||1|Pza|356.73
