ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
1|Grupo Global|0||jlmariaca|01/02/2017 12:00|01/02/2017 12:00||1|||0||0
MADRE000001|PROV Y COLOC DE TACHAS (OJOS DE GATO) |1||jlmariaca|01/02/2017 12:00|01/02/2017 12:00||0|||0|Pza|0
MADRE000002|PROVISION Y COLOCADO DE SE�ALIZACI�N VERTICAL 90 X 60 CM (NO REFLECTIVA) |1||jlmariaca|01/02/2017 12:00|01/02/2017 12:00||0|||0|Pza|0
MADRE000003|PROVISION Y COLOCADO DE SE�ALIZACI�N VERTICAL 60x60 CM Y 75x50 GRADO DIAMANTE |1||jlmariaca|01/02/2017 12:00|01/02/2017 12:00||0|||0|Pza|0
MADRE000004|"PROV. Y COLOC. LLAVE DE PASO CORTINA D= 4"" "|1||jlmariaca|01/02/2017 12:00|01/02/2017 12:00||0|||0|Pza|0
MADRE000005|"PROVISION Y COLOCACION CAJA RECEPTORA DE PVC 6"" x 30 cm."|1||jlmariaca|01/02/2017 12:00|01/02/2017 12:00||0|||0|Pza|0
MADRE000006|"PROV Y COLOCADO YEE 4"", 3"", 3"" 90�, PARA DRENAJE DE CANCHAS DE PASTO SINTETICO"|1||jlmariaca|01/02/2017 12:00|01/02/2017 12:00||0|||0|Pza|0
MADRE000007|PROVISION Y COLOCACION DE BANCAS APERGOLADAS DE EXPOCISION |1||jlmariaca|01/02/2017 12:00|01/02/2017 12:00||0|||0|Pza|0
MADRE000008|"PROVISION Y COLOCACION DE NIPLE PVC 3/4"" "|1||jlmariaca|01/02/2017 12:00|01/02/2017 12:00||0|||0|Pza|0
MADRE000009|"PROVISION Y COLOCACION DE YEE C=9 D= 4"" "|1||jlmariaca|01/02/2017 12:00|01/02/2017 12:00||0|||0|Pza|0
MADRE000010|"PROV. Y COLO. CODO FG 45� x 1"" "|1||jlmariaca|01/02/2017 12:00|01/02/2017 12:00||0|||0|Pza|0
MADRE000011|INSTALACION DE COLUMNA SEMAFORICA PEATONAL |1||jlmariaca|01/02/2017 12:00|01/02/2017 12:00||0|||0|Pza|0
MADRE000012|"PROVISION Y COLOCACION DE YEE DE REDUCCION PVC 1"" - 3/4"" "|1||jlmariaca|01/02/2017 12:00|01/02/2017 12:00||0|||0|Pza|0
MADRE000013|"PROVISION Y COLOCACION DE CODO 1"" PVC "|1||jlmariaca|01/02/2017 12:00|01/02/2017 12:00||0|||0|Pza|0
MADRE000014|"PROVISION Y COLOCACION DE TEE 1"" PVC "|1||jlmariaca|01/02/2017 12:00|01/02/2017 12:00||0|||0|Pza|0
MADRE000015|"PROV Y COLOC. LLAVE DE PASO TIPO CORTINA DE 1 1/2"" "|1||jlmariaca|01/02/2017 12:00|01/02/2017 12:00||0|||0|Pza|0
