fk_pcg_version|pcg_type|pcg_subtype|account_parent|fk_accounting_category|account_number|label|cta_normal|cta_clase|TIPO,C,1|AUX,C,1|NIVEL,N,2,0|NOTABG,C,10|NOTAER,C,10|AUX_BASE,C,13
PC_SIGEP|ACTIVO|X|||10000|ACTIVO|S||N|N|1|||
PC_SIGEP|ACTIVO|X|||11000|Activo Corriente|S||N|N|2|||
PC_SIGEP|ACTIVO|X|||11100|Disponible|S||N|N|3|||
PC_SIGEP|ACTIVO|X|||11110|Caja|A||S|S|4|||
PC_SIGEP|ACTIVO|X|||11120|Bancos|S||N|N|4|||
PC_SIGEP|ACTIVO|X|||11121|Cuenta Unica del Tesoro (1)|A||S|S|5|||BAN
PC_SIGEP|ACTIVO|X|||11122|Cuentas Fiscales en el BCB M/N|A||S|S|5|||BAN
PC_SIGEP|ACTIVO|X|||11123|Cuentas Fiscales en el BCB M/E|A||S|S|5|||BAN
PC_SIGEP|ACTIVO|X|||11124|Cuentas Fiscales y Otras en la Banca Privada M/N|A||S|S|5|||BAN
PC_SIGEP|ACTIVO|X|||11125|Cuentas Fiscales y Otras en la Banca Privada M/E|A||S|S|5|||BAN
PC_SIGEP|ACTIVO|X|||11126|Cuentas en el Exterior del PaÝs|A||S|S|5|||BAN
PC_SIGEP|ACTIVO|X|||11127|Fondos en Custodia y Garantia|A||S|S|5|||BAN
PC_SIGEP|ACTIVO|X|||11128|Fondos en la CUT (2)|A||S|S|5|||BAN
PC_SIGEP|ACTIVO|X|||11129|Otras Cuentas|A||S|S|5|||BAN
PC_SIGEP|ACTIVO|X|||11130|Fondos Rotativos|A||S|S|4|||BEN
PC_SIGEP|ACTIVO|X|||11200|Inversiones Financieras a Corto Plazo|S||N|N|3|||
PC_SIGEP|ACTIVO|X|||11210|Inversiones Temporales|S||N|N|4|||
PC_SIGEP|ACTIVO|X|||11211|Dep¾sitos a Plazo Fijo|A||S|S|5|||
PC_SIGEP|ACTIVO|X|||11212|Fondos en Fideicomiso|A||S|S|5|||BAN
PC_SIGEP|ACTIVO|X|||11213|Otras Inversiones Temporales|A||S|S|5|||
PC_SIGEP|ACTIVO|X|||11220|TÝtulos y Valores a Corto Plazo|S||N|N|4|||
PC_SIGEP|ACTIVO|X|||11221|Letras del Tesoro a Corto Plazo|S||S|N|5|||
PC_SIGEP|ACTIVO|X|||11222|Bonos del Tesoro a Corto Plazo|S||S|N|5|||
PC_SIGEP|ACTIVO|X|||11223|Otros TÝtulos y Valores a Corto Plazo|S||S|N|5|||BEN
PC_SIGEP|ACTIVO|X|||11230|(Previsi¾n por PÚrdidas en Inversiones Financieras a Corto Plazo)|S||S|N|4|||
PC_SIGEP|ACTIVO|X|||11300|Exigible a Corto Plazo|S||N|N|3|||
PC_SIGEP|ACTIVO|X|||11310|Cuentas a Cobrar a Corto Plazo|A||S|S|4|||
PC_SIGEP|ACTIVO|X|||11320|Otras Cuentas a Cobrar a Corto Plazo|S||N|N|4|||
PC_SIGEP|ACTIVO|X|||11321|Cuentas a Cobrar de Gestiones Anteriores|A||S|S|5|||
PC_SIGEP|ACTIVO|X|||11322|Otras Cuentas a Cobrar a Corto Plazo|A||S|S|5|||
PC_SIGEP|ACTIVO|X|||11330|Documentos y Efectos a Cobrar a Corto Plazo|S||N|N|4|||
PC_SIGEP|ACTIVO|X|||11331|Documentos y Efectos a Cobrar a Corto Plazo|A||S|S|5|||
PC_SIGEP|ACTIVO|X|||11332|Documentos y Efectos a Cobrar Morosos a Corto Plazo|A||S|S|5|||
PC_SIGEP|ACTIVO|X|||11340|Otros Documentos y Efectos a Cobrar a Corto Plazo|A||S|S|4|||
PC_SIGEP|ACTIVO|X|||11350|Concesi¾n de PrÚstamos a Corto Plazo al Sector P·blico No Financiero|S||N|N|4|||
PC_SIGEP|ACTIVO|X|||11351|A Organismos de la Administraci¾n Central (Ërgano Ejecutivo)|S||S|N|5|||
PC_SIGEP|ACTIVO|X|||11352|A Instituciones P·blicas Descentralizadas|S||S|N|5|||
PC_SIGEP|ACTIVO|X|||11353|A Gobiernos Aut¾nomos Departamentales|S||S|N|5|||
PC_SIGEP|ACTIVO|X|||11354|A Gobiernos Aut¾nomos Municipales|S||S|N|5|||
PC_SIGEP|ACTIVO|X|||11355|A Instituciones de Seguridad Social|S||S|N|5|||
PC_SIGEP|ACTIVO|X|||11356|A Empresas P·blicas No Financieras Nacionales|S||S|N|5|||
PC_SIGEP|ACTIVO|X|||11357|A Empresas P·blicas No Financieras Regionales|S||S|N|5|||
PC_SIGEP|ACTIVO|X|||11358|A Empresas P·blicas No Financieras Municipales|S||S|N|5|||
PC_SIGEP|ACTIVO|X|||11360|Concesi¾n de PrÚstamos a Corto Plazo al Sector P·blico Financiero y a los Sectores Privado y Externo|S||N|N|4|||
