ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
117-001|OBRAS PRELIMINARES|||jseborga,msalas||||1|||||
117-001-001|EXCAVACION MANUAL Y PERFILADOS|117-001||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||12.6|M3|70.17
117-001-002|HORMIGON POBRE DE NIVELACION|117-001||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||25.2|M2|53.88
117-001-003|CIMIENTO DE HoCo40% DE PIEDRA DESPLAZADORA DOSIF 1:3:4|117-001||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||12.6|M3|619.29
117-001-004|SOBRECIMIENTOS DE HoCo 50% DE PIEDRA DESPLAZADORA DOSIF 1:3:4|117-001||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||1.68|M3|735.35
117-001-005|MURO DE LADRILLO 6H e=0.12 M DOSIF. 1:5|117-001||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||96.6|M2|100.33
117-001-006|Ho Co CON 50% DE PIEDRA DESPLAZADORA DOSIF 1:3:4|117-001||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||1.63|M3|901.45
117-001-007|HORMIGON H-21 PILARES|117-001||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||1.85|M3|2311.46
117-002|OBRA GRUESA|||jseborga,msalas||||1|||||
117-002-001|INSTALACION DE FAENAS|117-002||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||1|GLB|3363.23
117-002-002|REPLANTEO Y TRAZADO LINEAL|117-002||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||1|GLB|1240.89
117-002-003|EXCAVACION Y MOV. DE TIERRA|117-002||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||157.17|M3|57.02
117-002-004|EXCAVACION MANUAL Y PERFILADOS|117-002||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||15.7|M3|70.17
117-002-005|RELLENO Y COMPACTADO DE TIERRA (C/ PROV DE MATERIAL)|117-002||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||33.72|M3|115.38
117-002-006|HORMIGON POBRE DE NIVELACION|117-002||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||89.57|M2|53.88
117-002-007|HORMIGON H-21 MURO|117-002||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||9.3|M3|2138.9
117-002-008|HORMIGON H-21 PILARES|117-002||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||7.12|M3|2367.59
117-002-009|HORMIGON H-21 VIGAS|117-002||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||18.59|M3|2007.78
117-002-010|LOSA ALIVIANADA H=20cm CON VIGUETA PRETENSADA|117-002||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||224.85|M2|349.37
117-002-011|HORMIGON H-21 ESCALERA|117-002||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||2.44|M3|2106.74
117-002-012|HORMIGON H-21 PARA LOSA DE FUNDACION|117-002||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||16.4|M3|1512.38
117-002-013|HORMIGON H-21 VIGA DE FUNDACION|117-002||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||5.58|M3|1649.18
117-002-014|ACERO DE REFUERZO ESTRUCTURA (vivienda)|117-002||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||9340|KG|10.67
117-002-015|"PERFIL ""i"" ACERO A36 4x7.7 (1o alma)"|117-002||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||2.9|M|267.53
117-002-016|"PERFIL ""i"" ACERO A36 6x12.5 (1o alma)"|117-002||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||8.72|M|267.53
117-002-017|CARGUIO Y RETIRO DE EXCEDENTE DE EXCAVACION|117-002||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||15|M3|48.56
117-002-018|Ho Co CON 50% DE PIEDRA DESPLAZADORA DOSIF 1:3:4|117-002||jseborga,msalas,aayala|12/6/2018|12/8/2018||0|||3.19|M3|901.45
