ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
133-000|CONTROL|||carguedas|||Hitos Verificacables de supervision|1|||||
133-001|Movilizacion|133-000||carguedas|13/3/2019|12/4/2019||0|||1|GLB|0
133-002|Hito Verificable 1|133-001||carguedas|11/6/2019|11/6/2019||0|||1|GLB|0
133-003|Hito Verificable 2|133-002||carguedas|9/9/2019|9/9/2019||0|||1|GLB|0
133-004|Hito Verificable 3|133-003||carguedas|8/12/2019|8/12/2019||0|||1|GLB|0
133-005|Hito Verificable 4|133-004||carguedas|7/3/2020|7/3/2020||0|||1|GLB|0
133-006|Hito Verificable 5|133-005||carguedas|5/6/2020|5/6/2020||0|||1|GLB|0
133-007|Hito Verificable 6|133-006||carguedas|3/9/2020|3/9/2020||0|||1|GLB|0
133-008|Recepcion|133-007||carguedas|2/12/2020|2/12/2020||0|||1|GLB|0
133-100|SUPERESTRUCTURA|||carguedas||||1|||||
133-101|HORMIGON SIMPLE TIPO P|133-100||carguedas||||0|||754|M3|5163.91
133-102|HORMIGON SIMPLE TIPO A|133-100||carguedas||||0|||43|M3|4676.79
133-103|ACERO ESTRUCTURAL|133-100||carguedas||||0|||85509.5|KG|19.11
133-104|CABLE 12 T 1/2 pulg|133-100||carguedas||||0|||24059.75|KG|45.54
133-105|VAINAS CORRUGADAS D=7 CM|133-100||carguedas||||0|||2657.87|ML|48.92
133-106|ANCLAJES 12 T 1/2 pulg|133-100||carguedas||||0|||170|PZA|1864.08
133-107|BARANDADO TIPO P-3 SNC|133-100||carguedas||||0|||247|ML|608.93
133-108|TUBO DE DRENAJE PVC D= 4pulg|133-100||carguedas||||0|||37|ML|47.07
133-109|JUNTA DE DILATACIÓN|133-100||carguedas||||0|||20|ML|651.94
133-200|INFRAESTRUCTURA|||carguedas||||1|||||
133-201|HORMIGON SIMPLE TIPO A|133-200||carguedas||||0|||362.2|M3|3347.82
133-202|ACERO ESTRUCTURAL|133-200||carguedas||||0|||34263.3|KG|19.11
133-203|APOYOS DE NEOPRENO COMPUESTO|133-200||carguedas||||0|||428.4|DM3|502.06
133-204|PILOTES DE HORMIGON D= 1.20 M|133-200||carguedas||||0|||416|ML|10664.67
133-205|EXCAVACION CON ENTIBADO|133-200||carguedas||||0|||1450|M3|111.38
133-300|ACCESOS MSE|||carguedas||||1|||||
133-301|MALLA UNIAXIAL UX1500MSE (INCL. PROV. Y COLOCACIÓN)|133-300||carguedas||||0|||2697.1|M2|108.98
133-302|MALLA UNIAXIAL UX1700MSE (INCL. PROV. Y COLOCACIÓN)|133-300||carguedas||||0|||1530.3|M2|130.41
133-303|GEOTEXTIL 200 GR/M²|133-300||carguedas||||0|||1167.8|M2|49.69
133-304|HORMIGON SIMPLE TIPO A|133-300||carguedas||||0|||100|M3|3347.82
133-305|ACERO ESTRUCTURAL|133-300||carguedas||||0|||2677|KG|19.11
133-306|MATERIAL GRANULAR|133-300||carguedas||||0|||50|M3|178.03
133-307|TUBO PVC D 4 pulg|133-300||carguedas||||0|||47.6|ML|106.14
133-308|MALLA TRIAX TX160 (INCL. PROV. Y COLOCACION)|133-300||carguedas||||0|||1910|M2|65.4
