ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
FUSIP1|OBRAS GENERALES||1 .|carguedas||||1|||||
FUSIP001|PERMISO DE CONSTRUCCION|FUSIP1|1|carguedas|14/12/2015|05/01/2016||0|||1|GLB|0
FUSIP002|DEMOLICION DEL CERCO PERIMETRAL Y LIMPIEZA DEL PREDIO E.T. SECCION 203|FUSIP1|2|carguedas|14/12/2015|05/01/2016||0|||1|GLB|8287.2
FUSIP003|"INSTALACION DE FAENAS. MOVILIZACION, OBRAS TEMPORALES, SEGURIDAD, LIMPIEZA, LETREROS, PROVISION DE AGUA Y ENERGIA ELECTRICA, ENSAYOS, DESMOVILIZACION, PLANOS ""AS BUILT"", ETC. DE ACUERDO A LO INDICADO EN LAS ET SEC. 201"|FUSIP1|3|carguedas|14/12/2015|05/01/2016||0|||1|GLB|72700.1
FUSIP004|TOPOGRAFIA, REPLANTEO Y CONTROL DE NIVELES|FUSIP1|4|carguedas|14/12/2015|05/01/2016||0|||1|GLB|11318.67
FUSIP2|OBRAS PRELIMINARES||2 . |carguedas||||1|||||
FUSIP005|EXCAVACION A MAQUINA DE LA FOSA DESTINADA A LA CONFORMACION DE LOS NIVELES DE SOTANO, DE ACUERDO A PLANOS DE ESTRUCTURA. VER LAS ET SEC. 204|FUSIP2|5|carguedas|21/12/2015|24/04/2016||0|||4509.47|M3|25.09
FUSIP006|EXCAVACION A MAQUINA DE LA FOSA CON AGOTAMIENTO|FUSIP2|6|carguedas|21/12/2015|24/04/2016||0|||2500|M3|71.89
FUSIP007|EXCAVACION MANUAL DE FOSAS DESTINADAS A FUNDACIONES AISLADAS Y FUNDACIONES CORRIDAS PARA MUROS, DE ACUERDO A PLANOS DE ESTRUCTURA. VER SEC. 204|FUSIP2|7|carguedas|21/12/2015|24/04/2016||0|||0|M3|75.34
FUSIP008|EXCAVACION MANUAL DE FOSAS CON AGOTAMIENTO|FUSIP2|8|carguedas|21/12/2015|24/04/2016||0|||1225.45|M3|152.38
FUSIP009|SUBMURACION DE LOS MUROS VECINOS COLINDANTES MEDIANTE HORMIGON CICLOPEO TIPO H15. LOS TRABAJOS INCLUYEN LA EXCAVACION A MANO Y EL APUNTALAMIENTO Y ENTIBACION NECESARIOS. VER ET SEC. 207|FUSIP2|9|carguedas|21/12/2015|24/04/2016||0|||108.25|M3|1235.71
FUSIP010|RELLENO Y COMPACTACION CON MATERIAL PROVENIENTE DE LA EXCAVACION, UNA VEZ CONSTRUIDAS LAS FUNDACIONES, SEGUN LAS ET SEC. 207.|FUSIP2|10|carguedas|21/12/2015|15/06/2016||0|||958|M3|52.21
FUSIP011|CARGUIO MATERIAL SOBRANTE DE LA EXCAVACION A MAQUINA, DE ACUERDO CON LAS ET SEC. 206. SE INCLUYE YA UN ESPONJAMIENTO DEL 20%|FUSIP2|11|carguedas|21/12/2015|15/06/2016||0|||7391.66|M3|50.23
FUSIP012|CARGUIO MATERIAL SOBRANTE DE LA EXCAVACION MANUAL DE FOSAS, DE ACUERDO CON LAS ET SEC. 206. SE INCLUYE YA UN ESPONJAMIENTO DEL 20%|FUSIP2|12|carguedas|21/12/2015|15/06/2016||0|||1470.54|M3|50.23
