ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
|OBRAS GENERALES|||carguedas||||1|||||
|PERMISO DE CONSTRUCCION||1|carguedas|14/12/2015|05/01/2016||0|||1|GLB|0
|DEMOLICION DEL CERCO PERIMETRAL Y LIMPIEZA DEL PREDIO E.T. SECCION 203||2|carguedas|14/12/2015|05/01/2016||0|||1|GLB|8,287.20
|"INSTALACION DE FAENAS. MOVILIZACION, OBRAS TEMPORALES, SEGURIDAD, LIMPIEZA, LETREROS, PROVISION DE AGUA Y ENERGIA ELECTRICA, ENSAYOS, DESMOVILIZACION, PLANOS ""AS BUILT"", ETC. DE ACUERDO A LO INDICADO EN LAS ET SEC. 201"||3|carguedas|14/12/2015|05/01/2016||0|||1|GLB|72,700.10
|TOPOGRAFIA, REPLANTEO Y CONTROL DE NIVELES||4|carguedas|14/12/2015|05/01/2016||0|||1|GLB|11,318.67
|OBRAS PRELIMINARES|||carguedas||||1|||||
|EXCAVACION A MAQUINA DE LA FOSA DESTINADA A LA CONFORMACION DE LOS NIVELES DE SOTANO, DE ACUERDO A PLANOS DE ESTRUCTURA. VER LAS ET SEC. 204||5|carguedas|21/12/2015|24/04/2016||0|||4,509.47|M3|25.09
|EXCAVACION A MAQUINA DE LA FOSA CON AGOTAMIENTO||6|carguedas|21/12/2015|24/04/2016||0|||2,500.00|M3|71.89
|EXCAVACION MANUAL DE FOSAS DESTINADAS A FUNDACIONES AISLADAS Y FUNDACIONES CORRIDAS PARA MUROS, DE ACUERDO A PLANOS DE ESTRUCTURA. VER SEC. 204||7|carguedas|21/12/2015|24/04/2016||0|||0|M3|75.34
|EXCAVACION MANUAL DE FOSAS CON AGOTAMIENTO||8|carguedas|21/12/2015|24/04/2016||0|||1,225.45|M3|152.38
|SUBMURACION DE LOS MUROS VECINOS COLINDANTES MEDIANTE HORMIGON CICLOPEO TIPO H15. LOS TRABAJOS INCLUYEN LA EXCAVACION A MANO Y EL APUNTALAMIENTO Y ENTIBACION NECESARIOS. VER ET SEC. 207||9|carguedas|21/12/2015|24/04/2016||0|||108.25|M3|1,235.71
|RELLENO Y COMPACTACION CON MATERIAL PROVENIENTE DE LA EXCAVACION, UNA VEZ CONSTRUIDAS LAS FUNDACIONES, SEGUN LAS ET SEC. 207.||10|carguedas|21/12/2015|15/06/2016||0|||958|M3|52.21
|CARGUIO MATERIAL SOBRANTE DE LA EXCAVACION A MAQUINA, DE ACUERDO CON LAS ET SEC. 206. SE INCLUYE YA UN ESPONJAMIENTO DEL 20%||11|carguedas|21/12/2015|15/06/2016||0|||7,391.66|M3|50.23
|CARGUIO MATERIAL SOBRANTE DE LA EXCAVACION MANUAL DE FOSAS, DE ACUERDO CON LAS ET SEC. 206. SE INCLUYE YA UN ESPONJAMIENTO DEL 20%||12|carguedas|21/12/2015|15/06/2016||0|||1,470.54|M3|50.23
|ACARREO DEL MATERIAL SOBRANTE DE LA EXCAVACION A MAQUINA, DE ACUERDO CON LAS ET SEC. 206. DISTANCIA DE ACARREO 5.0 KM. SE INCLUYE YA UN ESPONJAMIENTO DEL 20%||13|carguedas|21/12/2015|15/06/2016||0|||7,391.66|M3|18.65
|ACARREO DEL MATERIAL SOBRANTE DE LA EXCAVACION MANUAL DE FOSAS, DE ACUERDO CON LAS ET DIV. 206. DISTANCIA DE ACARREO 5.0 KM.  SE INCLUYE YA UN ESPONJAMIENTO DEL 20%||14|carguedas|21/12/2015|15/06/2016||0|||1,470.54|M3|18.65
|ESTRUCTURAS DE HORMIGON|||carguedas||||1|||||
|EJECUCION DE UNA CAPA DE HORMIGON DE LIMPIEZA,  TIPO H12.5, DE 5 CM DE ESPESOR, EN EL FONDO DE LAS FOSAS DESTINADAS A FUNDACIONES.  CONTENIDO MINIMO DE CEMENTO 150 KG/M3.  VER ET.||15|carguedas|02/02/2016|20/10/2016||0|||72.48|M3|792.4
|EJECUCION DE LOSAS DE FUNDACION EN SOTANOS 2 Y 1, EN H.A. TIPO H25- E=0.60M, DE ACUERDO A LAS ET Y EN PLANOS ESTRUCTURALES.||16|carguedas|02/02/2016|20/10/2016||0|||429.69|M3|2,101.87
|EJECUCION DE VIGAS DE FUNDACION, EQUILIBRIO Y ARRIOSTRE EN HORMIGON ARMADO TIPO H20, DE ACUERDO A LAS ET Y EN PLANOS ESTRUCTURALES.||17|carguedas|02/02/2016|20/10/2016||0|||91.76|M3|2,323.47
|EJECUCION DE LOSAS DE FUNDACION SOTANO 1 Y PARA AREA DE ASCENSORES EN HORMIGON ARMADO TIPO H25, E=0.40 M, DE ACUERDO A LAS ET Y EN PLANOS ESTRUCTURALES.||18|carguedas|02/02/2016|20/10/2016||0|||35.16|M3|2,024.05
|EJECUCION DE FUNDACIONES CORRIDAS PARA MUROS DE CONTENCION PERIMETRALES EN HORMIGON ARMADO TIPO H25, DE ACUERDO A LAS ET Y EN PLANOS ESTRUCTURALES.||19|carguedas|02/02/2016|20/10/2016||0|||14.94|M3|2,168.86
|EJECUCION DE CIMIENTOS Y SOBRECIMENTOS DE HORMIGON ARMADO||20|carguedas|02/02/2016|20/10/2016||0|||12.7|M3|2,168.86
|EJECUCION DE MUROS DE CONTENCION EN HORMIGON ARMADO TIPO H25, PARA LOS MUROS PERIMETRALES DE SOTANO DOS, SOTANO UNO Y PLANTA BAJA, DE ACUERDO A LOS PLANOS ESTRUCTURALES.||21|carguedas|02/02/2016|20/10/2016||0|||198.85|M3|2,526.39
|EJECUCION DE MUROS DE CONTENCION EN HORMIGON ARMADO TIPO H25, PARA LOS MUROS PERIMETRALES DE SALA DE TRANSFORMADORES, DE ACUERDO A LOS PLANOS ESTRUCTURALES.||22|carguedas|02/02/2016|20/10/2016||0|||8.44|M3|2,501.52
|EJECUCION DE MUROS PORTANTES EN HORMIGON ARMADO TIPO H25, DE ACUERDO A LOS PLANOS ESTRUCTURALES.||23|carguedas|02/02/2016|20/10/2016||0|||179.49|M3|2,501.52
|EJECUCION DE MUROS PORTANTES EN HORMIGON ARMADO TIPO H25, PARA ASCENSORES, CON ACABADO VISTO DE LAS CARAS EXTERIORES, CON TEXTURA DE ACUERDO A DETALLE ARQUITECTONICO Y A LOS PLANOS ESTRUCTURALES. ET.||24|carguedas|02/02/2016|20/10/2016||0|||103.47|M3|2,915.11
|EJECUCION DE MUROS PORTANTES EN HORMIGON ARMADO TIPO H25, PARA ESCALERAS, CON ACABADO VISTO CON TEXTURA DE ACUERDO CON DETALLE ARQUITECTONICO Y A LOS PLANOS ESTRUCTURALES. ET||25|carguedas|02/02/2016|20/10/2016||0|||65|M3|2,915.11
