ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
FUSIP001|OBRAS GENERALES||1 .|carguedas||||1|||||
FUSIP002|PERMISO DE CONSTRUCCION|FUSIP001|1|carguedas|14/12/2015|05/01/2016||0|||1|GLB|0
FUSIP003|DEMOLICION DEL CERCO PERIMETRAL Y LIMPIEZA DEL PREDIO E.T. SECCION 203|FUSIP001|2|carguedas|14/12/2015|05/01/2016||0|||1|GLB|8287.2
FUSIP004|"INSTALACION DE FAENAS. MOVILIZACION, OBRAS TEMPORALES, SEGURIDAD, LIMPIEZA, LETREROS, PROVISION DE AGUA Y ENERGIA ELECTRICA, ENSAYOS, DESMOVILIZACION, PLANOS ""AS BUILT"", ETC. DE ACUERDO A LO INDICADO EN LAS ET SEC. 201"|FUSIP001|3|carguedas|14/12/2015|05/01/2016||0|||1|GLB|72700.1
FUSIP005|TOPOGRAFIA, REPLANTEO Y CONTROL DE NIVELES|FUSIP001|4|carguedas|14/12/2015|05/01/2016||0|||1|GLB|11318.67
FUSIP006|OBRAS PRELIMINARES||2 . |carguedas||||1|||||
FUSIP007|EXCAVACION A MAQUINA DE LA FOSA DESTINADA A LA CONFORMACION DE LOS NIVELES DE SOTANO, DE ACUERDO A PLANOS DE ESTRUCTURA. VER LAS ET SEC. 204|FUSIP006|5|carguedas|21/12/2015|24/04/2016||0|||4509.47|M3|25.09
FUSIP008|EXCAVACION A MAQUINA DE LA FOSA CON AGOTAMIENTO|FUSIP006|6|carguedas|21/12/2015|24/04/2016||0|||2500|M3|71.89
FUSIP009|EXCAVACION MANUAL DE FOSAS DESTINADAS A FUNDACIONES AISLADAS Y FUNDACIONES CORRIDAS PARA MUROS, DE ACUERDO A PLANOS DE ESTRUCTURA. VER SEC. 204|FUSIP006|7|carguedas|21/12/2015|24/04/2016||0|||0|M3|75.34
FUSIP010|EXCAVACION MANUAL DE FOSAS CON AGOTAMIENTO|FUSIP006|8|carguedas|21/12/2015|24/04/2016||0|||1225.45|M3|152.38
FUSIP011|SUBMURACION DE LOS MUROS VECINOS COLINDANTES MEDIANTE HORMIGON CICLOPEO TIPO H15. LOS TRABAJOS INCLUYEN LA EXCAVACION A MANO Y EL APUNTALAMIENTO Y ENTIBACION NECESARIOS. VER ET SEC. 207|FUSIP006|9|carguedas|21/12/2015|24/04/2016||0|||108.25|M3|1235.71
FUSIP012|RELLENO Y COMPACTACION CON MATERIAL PROVENIENTE DE LA EXCAVACION, UNA VEZ CONSTRUIDAS LAS FUNDACIONES, SEGUN LAS ET SEC. 207.|FUSIP006|10|carguedas|21/12/2015|15/06/2016||0|||958|M3|52.21
FUSIP013|CARGUIO MATERIAL SOBRANTE DE LA EXCAVACION A MAQUINA, DE ACUERDO CON LAS ET SEC. 206. SE INCLUYE YA UN ESPONJAMIENTO DEL 20%|FUSIP006|11|carguedas|21/12/2015|15/06/2016||0|||7391.66|M3|50.23
FUSIP014|CARGUIO MATERIAL SOBRANTE DE LA EXCAVACION MANUAL DE FOSAS, DE ACUERDO CON LAS ET SEC. 206. SE INCLUYE YA UN ESPONJAMIENTO DEL 20%|FUSIP006|12|carguedas|21/12/2015|15/06/2016||0|||1470.54|M3|50.23
FUSIP015|ACARREO DEL MATERIAL SOBRANTE DE LA EXCAVACION A MAQUINA, DE ACUERDO CON LAS ET SEC. 206. DISTANCIA DE ACARREO 5.0 KM. SE INCLUYE YA UN ESPONJAMIENTO DEL 20%|FUSIP006|13|carguedas|21/12/2015|15/06/2016||0|||7391.66|M3|18.65
FUSIP016|ACARREO DEL MATERIAL SOBRANTE DE LA EXCAVACION MANUAL DE FOSAS, DE ACUERDO CON LAS ET DIV. 206. DISTANCIA DE ACARREO 5.0 KM.  SE INCLUYE YA UN ESPONJAMIENTO DEL 20%|FUSIP006|14|carguedas|21/12/2015|15/06/2016||0|||1470.54|M3|18.65
FUSIP017|ESTRUCTURAS DE HORMIGON||3 .|carguedas||||1|||||
FUSIP018|EJECUCION DE UNA CAPA DE HORMIGON DE LIMPIEZA,  TIPO H12.5, DE 5 CM DE ESPESOR, EN EL FONDO DE LAS FOSAS DESTINADAS A FUNDACIONES.  CONTENIDO MINIMO DE CEMENTO 150 KG/M3.  VER ET.|FUSIP017|15|carguedas|02/02/2016|20/10/2016||0|||72.48|M3|792.4
FUSIP019|EJECUCION DE LOSAS DE FUNDACION EN SOTANOS 2 Y 1, EN H.A. TIPO H25- E=0.60M, DE ACUERDO A LAS ET Y EN PLANOS ESTRUCTURALES.|FUSIP017|16|carguedas|02/02/2016|20/10/2016||0|||429.69|M3|2101.87
FUSIP020|EJECUCION DE VIGAS DE FUNDACION, EQUILIBRIO Y ARRIOSTRE EN HORMIGON ARMADO TIPO H20, DE ACUERDO A LAS ET Y EN PLANOS ESTRUCTURALES.|FUSIP017|17|carguedas|02/02/2016|20/10/2016||0|||91.76|M3|2323.47
FUSIP021|EJECUCION DE LOSAS DE FUNDACION SOTANO 1 Y PARA AREA DE ASCENSORES EN HORMIGON ARMADO TIPO H25, E=0.40 M, DE ACUERDO A LAS ET Y EN PLANOS ESTRUCTURALES.|FUSIP017|18|carguedas|02/02/2016|20/10/2016||0|||35.16|M3|2024.05
FUSIP022|EJECUCION DE FUNDACIONES CORRIDAS PARA MUROS DE CONTENCION PERIMETRALES EN HORMIGON ARMADO TIPO H25, DE ACUERDO A LAS ET Y EN PLANOS ESTRUCTURALES.|FUSIP017|19|carguedas|02/02/2016|20/10/2016||0|||14.94|M3|2168.86
FUSIP023|EJECUCION DE CIMIENTOS Y SOBRECIMENTOS DE HORMIGON ARMADO|FUSIP017|20|carguedas|02/02/2016|20/10/2016||0|||12.7|M3|2168.86
