ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
HCO-001|Instalacion de Faenas|||mticona|28/07/2017 04:00|31/08/2017 04:00|INSTALACION DE FAENAS|0|||1|GLB|39087.64
HCO-002|Trazado y Replanteo|||mticona|28/07/2017 04:00|31/07/2017 04:00|TRAZADO Y REPLANTEO|0|||289.9|M2|6.46
HCO-003|EXCAVACION CON MAQUINARIA Y MOV. DE TIERRA|||mticona|28/07/2017 04:00|28/08/2017 04:00|EXCAVACION CON MAQUINARIA Y MOV. DE TIERRA|0|||950|M3|88.81
HCO-004|EXCAVACION MANUAL Y MOV. DE TIERRA|||mticona|28/07/2017 04:00|31/08/2017 04:00|EXCAVACION MANUAL Y MOV. DE TIERRA|0|||250|M3|135.55
HCO-005|HORMIGON POBRE DE NIVELACION|||mticona|28/07/2017 04:00|15/09/2017 04:00|HORMIGON POBRE DE NIVELACION|0|||289.9|M3|73.89
HCO-006|HORMIGON H-25 LOSA DE FUNDACION|||mticona|28/07/2017 08:00|20/09/2017 08:00|HORMIGON H-25 LOSA DE FUNDACION|0|||89.66|M3|1942.43
HCO-007|RELLENO Y COMPACTADO (SIN PROV)|||mticona|28/07/2017 04:00|22/09/2017 04:00|RELLENO Y COMPACTADO (SIN PROV)|0|||24.21|M3|118.45
HCO-008|HORMIGON H-25 VIGA DE FUNDACION (READYMIX)|||mticona|28/07/2017 04:00|27/09/2017 04:00|HORMIGON H-25 VIGA DE FUNDACION (READYMIX)|0|||1.99|M3|2104.64
HCO-009|HORMIGON H-25 PILARES|||mticona|28/07/2017 04:00|01/10/2017 04:00|HORMIGON H-25 PILARES|0|||6.83|M3|2682.8
HCO-010|HORMIGON H-25 VIGAS (READYMIX)|||mticona|28/07/2017 04:00|11/10/2017 04:00|HORMIGON H-25 VIGAS (READYMIX)|0|||29.33|M3|2833.92
HCO-011|HORMIGON H-25 ZAPATAS|||mticona|28/07/2017 04:00|26/08/2017 04:00|HORMIGON H-25 ZAPATAS|0|||0.8|M3|1928.55
HCO-012|HORMIGON H-25 LOSA LLENA|||mticona|28/07/2017 04:00|22/09/2017 04:00|HORMIGON H-25 LOSA LLENA|0|||3.53|M3|2304.72
HCO-013|HORMIGON H-25 LOSA ALIVI. 2DIRECC. h=20 (READYMIX)|||mticona|28/07/2017 04:00|29/09/2017 04:00|HORMIGON H-25 LOSA ALIVI. 2DIRECC. h=20 (READYMIX)|0|||6.99|M2|450.55
HCO-014|HORMIGON H-25 LOSA ALIVI. 2DIRECC. h=25 (READYMIX)|||mticona|28/07/2017 04:00|29/09/2017 04:00|HORMIGON H-25 LOSA ALIVI. 2DIRECC. h=25 (READYMIX)|0|||294.84|M2|478.6
HCO-015|LOSA ALIVIANADA 1DIRECC H=20CM|||mticona|28/07/2017 04:00|26/08/2017 04:00|LOSA ALIVIANADA 1DIRECC H=20CM|0|||6.04|M2|410.48
HCO-016|LOSA EMMEDUE vaciada en sitio|||mticona|20/09/2017 04:00|20/10/2017 04:00|LOSA EMMEDUE vaciada en sitio|0|||232.08|M2|759.08
HCO-017|HORMIGON H-25 ESCALERA|||mticona|18/08/2017 04:00|30/09/2017 04:00|HORMIGON H-25 ESCALERA|0|||4.86|M3|2579.71
HCO-018|ACERO DE REFUERZO|||mticona|28/07/2017 04:00|20/10/2017 04:00|ACERO DE REFUERZO|0|||22935|KG|11.99
HCO-019|HORMIGON H-25 MURO (READYMIX)|||mticona|28/07/2017 04:00|08/09/2017 04:00|HORMIGON H-25 MURO (READYMIX)|0|||89.02|M3|2248.05
HCO-020|HORMIGON H-25 MURO DE ASCENSOR (READYMIX)|||mticona|28/07/2017 04:00|01/11/2017 04:00|HORMIGON H-25 MURO DE ASCENSOR (READYMIX)|0|||21.59|M3|2882.94
HCO-021|ESCALERAS DE HORMIGON VOLADAS|||mticona|18/08/2017 04:00|13/10/2017 04:00|ESCALERAS DE HORMIGON VOLADAS|0|||10.46|LM|479.11
HCO-022|IMPERMEABILIZACION CON POLIETILENO DE 200 MICR|||mticona|28/07/2017 04:00|24/08/2017 04:00|IMPERMEABILIZACION CON POLIETILENO DE 200 MICR|0|||698|M2|26.43
HCO-023|DEMOLICION Y RETIRO DE ESCOMBROS|||mticona|28/07/2017 08:00|22/09/2017 04:00|DEMOLICION Y RETIRO DE ESCOMBROS|0|||110|M3|237.11
HCO-024|INSTALACIONES SANITARIAS Y PLUVIALES (SIN ARTEFACTOS)|||mticona|28/07/2017 04:00|22/09/2017 04:00|INSTALACIONES SANITARIAS Y PLUVIALES (SIN ARTEFACTOS)|0|||1|GLB|25284.79
HCO-025|DESVIO DE TUBERIAS DE INSTALACIONES PROVISIONAL|||mticona|28/07/2017 04:00|11/08/2017 04:00|DESVIO DE TUBERIAS DE INSTALACIONES PROVISIONAL|0|||50|LM|185
HCO-026|LIMPIEZA Y DESMOVILIZACION|||mticona|23/10/2017 04:00|01/11/2017 04:00|LIMPIEZA Y DESMOVILIZACION|0|||1|GLB|9201.55
