ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
350|INSTALACION DE FAENAS||||01/06/2017 00:00|08/06/2017 00:00||0|||39087.64||39087.64
352|TRAZADO Y REPLANTEO||||03/06/2017 00:00|13/07/2017 00:00||0|||6.46||1872.75
353|EXCAVACION CON MAQUINARIA Y MOV. DE TIERRA||||04/06/2017 00:00|07/10/2017 00:00||0|||88.81||84369.5
355|EXCAVACION MANUAL Y MOV. DE TIERRA||||16/06/2017 00:00|19/03/2018 00:00||1|||135.55||33887.5
414|exc 1|355|||16/06/2017 00:00|01/07/2017 00:00||0|||135.55||13555
416|exc 2|355|||10/08/2017 00:00|15/08/2017 00:00||0|||135.55||13555
418|exc 3|355|||01/09/2017 00:00|05/09/2017 00:00||0|||135.55||6777.5
356|HORMIGON POBRE DE NIVELACION||||25/06/2017 00:00|19/03/2018 00:00||1|||73.89||21420.71
424|horm1|356|||25/06/2017 00:00|27/06/2017 00:00||0|||73.89||7389
425|horm2|356|||28/06/2017 00:00|30/06/2017 00:00||0|||73.89||7389
426|horm3|356|||01/08/2017 00:00|01/08/2017 23:59||0|||73.89||6642.71
358|HORMIGON H-25 LOSA DE FUNDACION||||26/06/2017 00:00|02/08/2017 00:00||1|||1942.43||174158.27
434|losaf1|358|||26/06/2017 00:00|02/08/2017 00:00||0|||1942.43||58272.9
435|losaf2|358|||08/07/2017 00:00|18/07/2017 00:00||0|||1942.43||58272.9
436|losaf3|358|||25/07/2017 00:00|02/08/2017 00:00||0|||1942.43||57612.47
359|RELLENO Y COMPACTADO (SIN PROV)||||14/07/2017 00:00|12/09/2017 00:00||0|||118.45||2867.67
361|HORMIGON H-25 VIGA DE FUNDACION (READYMIX)||||26/06/2017 00:00|02/08/2017 00:00||1|||2104.64||4188.23
444|vf1|361|||26/06/2017 00:00|02/08/2017 00:00||0|||2104.64||1262.78
445|vf2|361|||08/07/2017 00:00|18/07/2017 00:00||0|||2104.64||1262.78
446|vf3|361|||20/07/2017 00:00|25/07/2017 00:00||0|||2104.64||1662.67
362|HORMIGON H-25 PILARES||||01/08/2017 00:00|19/03/2018 00:00||1|||2682.8||18323.52
454|c1|362|||01/08/2017 00:00|16/08/2017 00:00||0|||2682.8||5365.6
455|c2|362|||16/08/2017 00:00|31/08/2017 00:00||0|||2682.8||5365.6
456|c3|362|||14/09/2017 00:00|16/09/2017 00:00||0|||2682.8||7592.32
364|HORMIGON H-25 VIGAS (READYMIX)||||31/08/2017 00:00|19/03/2018 00:00||1|||2833.92||83118.87
464|v1|364|||31/08/2017 00:00|15/09/2017 00:00||0|||2833.92||28339.2
465|v2|364|||16/09/2017 00:00|01/10/2017 00:00||0|||2833.92||28339.2
466|v3|364|||08/10/2017 00:00|13/10/2017 00:00||0|||2833.92||26440.47
367|HORMIGON H-25 LOSA LLENA||||31/08/2017 00:00|19/03/2018 00:00||1|||2304.72||8135.66
474|losa1|367|||31/08/2017 00:00|15/09/2017 00:00||0|||2304.72||2304.72
475|losa2|367|||16/09/2017 00:00|01/10/2017 00:00||0|||2304.72||2304.72
476|losa3|367|||08/10/2017 00:00|13/10/2017 00:00||0|||2304.72||3526.22
373|LOSA EMMEDUE vaciada en sitio||||23/02/2018 00:00|19/03/2018 00:00||0|||759.08||176167.29
374|HORMIGON H-25 ESCALERA||||08/01/2018 00:00|13/01/2018 00:00||0|||2579.71||12537.39
377|HORMIGON H-25 MURO (READYMIX)||||26/07/2017 00:00|23/11/2017 00:00||0|||2248.05||200121.41
379|HORMIGON H-25 MURO DE ASCENSOR (READYMIX)||||05/08/2017 00:00|19/03/2018 00:00||0|||2882.94||62242.67
380|ESCALERAS DE HORMIGON VOLADAS||||12/03/2018 00:00|17/03/2018 00:00||0|||479.11||5011.49
383|DEMOLICION Y RETIRO DE ESCOMBROS||||01/06/2017 00:00|19/03/2018 00:00||1|||237.11||26082.1
484|demo1|383|||01/06/2017 00:00|08/06/2017 00:00||0|||237.11||7113.3
485|demo2|383|||08/07/2017 00:00|15/07/2017 00:00||0|||237.11||7113.3
486|demo3|383|||20/07/2017 00:00|25/07/2017 00:00||0|||237.11||11855.5
385|INSTALACIONES SANITARIAS Y PLUVIALES (SIN ARTEFACTOS)||||28/02/2018 00:00|05/03/2018 00:00||0|||25284.79||25284.79
386|"DESVIO DE TUBERIAS DE INSTALACIONES PROVISIONAL 4"""||||01/06/2017 00:00|31/03/2018 00:00||0|||185||9250
388|LIMPIEZA Y DESMOVILIZACION||||09/06/2017 00:00|29/07/2017 00:00||1|||9201.55||9201.55
494|limp1|388|||09/06/2017 00:00|11/06/2017 00:00||0|||9201.55||2760.47
495|limp2|388|||16/07/2017 00:00|17/07/2017 00:00||0|||9201.55||2760.47
496|limp3|388|||26/07/2017 00:00|29/07/2017 00:00||0|||9201.55||3680.62
