ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
HLV001|INSTALACION DE FAENAS|||jseborga|18/07/2016 12:00 PM|18/10/2016 12:00 PM|Instalacion de Faenas, incluye demolicion, Almacenes, demolicion de cerco perimetral, etc|1|||0||0
HLV001-1|Demolicion de Vivienda|HLV001||jseborga|18/07/2016 12:00 PM|18/10/2016 12:00 PM||0|||1|GLB|3631,5
HLV001-2|Demolicion Muros|HLV001||jseborga|18/07/2016 12:00 PM|18/10/2016 12:00 PM|Demolicion de Muros Hacia la Calle Canada Stronguest|0|||1|GLB|3631,5
HLV001-3|Instalacion de faenas basicas|HLV001||jseborga|18/07/2016 12:00 PM|18/10/2016 12:00 PM|Instalacion de Faenas Basicas|0|||1|GLB|16331,85
HLV002|EXCAVACIONES Y RELLENOS|||jseborga|25/07/2016 12:00 PM|03/10/2016 12:00 PM|Actividades de Excavaciones|1|||0||0
HLV002-1|Excavacion con maquinaria|HLV002||carguedas; jseborga|25/07/2016 12:00 PM|25/09/2016 12:00 PM|Excavacion con Maquinaria|0|||1365,1|M3|69,04
HLV002-2|Excavacion manual|HLV002||jseborga|25/09/2016 12:00 PM|03/10/2016 12:00 PM|Excavacion Manual y Perfilacion|0|||460|M3|86,24
HLV002-3|Relleno y Compactado|HLV002||jseborga|25/09/2016 12:00 PM|03/10/2016 12:00 PM|Relleno y compactado de parqueos|0|||48|M3|56,95
HLV003|NIVEL 0 PARQUEO|||jseborga|18/08/2016 12:00 PM|18/03/2017 12:00 PM||1|||0||0
HLV003-1|Fundacion de Hormigon Armado|HLV003||jseborga|18/08/2016 12:00 PM|10/10/2016 12:00 PM|Fundacion de Hormigon Aramado, incluye losas, vigas de hormigon armado, rampa, muros de contencion.|0|||292,85|M2|1615,73157
HLV003-2|Carpeta de Hormigon|HLV003||jseborga|18/12/2016 12:00 PM|18/01/2017 12:00 PM|Carpeta de Nivelacion en Parqueos|0|||425|M2|83,84
HLV003-3|Soladura de Piedra y Hormigon|HLV003||jseborga|18/12/2016 12:00 PM|18/01/2017 12:00 PM|Soladura de Piedra y Nivelacion en Parqueos|0|||160|M2|141,04
HLV003-4|Tabique|HLV003||jseborga|18/12/2016 12:00 PM|18/03/2017 12:00 PM|Tabiques de Nivel de Referencia|0|||75,24|M2|0,1
HLV003-5|Escaleras|HLV003||jseborga|18/08/2016 12:00 PM|10/10/2016 12:00 PM|Escaleras hasta nivel de referencia|0|||2,8|M3|0,1
HLV004|NIVEL 1 INGRESO Y PLANTA BAJA|||jseborga|08/08/2016 12:00 PM|18/03/2017 12:00 PM||1|||0||0
HLV004-1|Columnas|HLV004||jseborga|08/08/2016 12:00 PM|14/11/2016 12:00 PM|Columnas Hasta Nivel de Referencia|0|||100|PER|0,1
