ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
MOD1|OBRAS GENERALES|||carguedas||||1|||||
T1|PERMISO DE CONSTRUCCION|||carguedas|14/12/2015|05/01/2016||0|||1|GLB|0
T2|DEMOLICION DEL CERCO PERIMETRAL Y LIMPIEZA DEL PREDIO E.T. SECCION 203|||carguedas|14/12/2015|05/01/2016||0|||1|GLB|8287.2
T3|"INSTALACION DE FAENAS. MOVILIZACION, OBRAS TEMPORALES, SEGURIDAD, LIMPIEZA, LETREROS, PROVISION DE AGUA Y ENERGIA ELECTRICA, ENSAYOS, DESMOVILIZACION, PLANOS ""AS BUILT"", ETC. DE ACUERDO A LO INDICADO EN LAS ET SEC. 201"|||carguedas|14/12/2015|05/01/2016||0|||1|GLB|72700.1
T4|TOPOGRAFIA, REPLANTEO Y CONTROL DE NIVELES|||carguedas|14/12/2015|05/01/2016||0|||1|GLB|11318.67
MOD2|OBRAS PRELIMINARES|||carguedas||||1|||||
T5|EXCAVACION A MAQUINA DE LA FOSA DESTINADA A LA CONFORMACION DE LOS NIVELES DE SOTANO, DE ACUERDO A PLANOS DE ESTRUCTURA. VER LAS ET SEC. 204|||carguedas|21/12/2015|24/04/2016||0|||4509.47|M3|25.09
T6|EXCAVACION A MAQUINA DE LA FOSA CON AGOTAMIENTO|||carguedas|21/12/2015|24/04/2016||0|||2500|M3|71.89
T7|EXCAVACION MANUAL DE FOSAS DESTINADAS A FUNDACIONES AISLADAS Y FUNDACIONES CORRIDAS PARA MUROS, DE ACUERDO A PLANOS DE ESTRUCTURA. VER SEC. 204|||carguedas|21/12/2015|24/04/2016||0|||0|M3|75.34
T8|EXCAVACION MANUAL DE FOSAS CON AGOTAMIENTO|||carguedas|21/12/2015|24/04/2016||0|||1225.45|M3|152.38
T9|SUBMURACION DE LOS MUROS VECINOS COLINDANTES MEDIANTE HORMIGON CICLOPEO TIPO H15. LOS TRABAJOS INCLUYEN LA EXCAVACION A MANO Y EL APUNTALAMIENTO Y ENTIBACION NECESARIOS. VER ET SEC. 207|||carguedas|21/12/2015|24/04/2016||0|||108.25|M3|1235.71
T10|RELLENO Y COMPACTACION CON MATERIAL PROVENIENTE DE LA EXCAVACION, UNA VEZ CONSTRUIDAS LAS FUNDACIONES, SEGUN LAS ET SEC. 207.|||carguedas|21/12/2015|15/06/2016||0|||958|M3|52.21
T11|CARGUIO MATERIAL SOBRANTE DE LA EXCAVACION A MAQUINA, DE ACUERDO CON LAS ET SEC. 206. SE INCLUYE YA UN ESPONJAMIENTO DEL 20%|||carguedas|21/12/2015|15/06/2016||0|||7391.66|M3|50.23
T12|CARGUIO MATERIAL SOBRANTE DE LA EXCAVACION MANUAL DE FOSAS, DE ACUERDO CON LAS ET SEC. 206. SE INCLUYE YA UN ESPONJAMIENTO DEL 20%|||carguedas|21/12/2015|15/06/2016||0|||1470.54|M3|50.23
T13|ACARREO DEL MATERIAL SOBRANTE DE LA EXCAVACION A MAQUINA, DE ACUERDO CON LAS ET SEC. 206. DISTANCIA DE ACARREO 5.0 KM. SE INCLUYE YA UN ESPONJAMIENTO DEL 20%|||carguedas|21/12/2015|15/06/2016||0|||7391.66|M3|18.65
T14|ACARREO DEL MATERIAL SOBRANTE DE LA EXCAVACION MANUAL DE FOSAS, DE ACUERDO CON LAS ET DIV. 206. DISTANCIA DE ACARREO 5.0 KM.  SE INCLUYE YA UN ESPONJAMIENTO DEL 20%|||carguedas|21/12/2015|15/06/2016||0|||1470.54|M3|18.65
MOD3|ESTRUCTURAS DE HORMIGON|||carguedas||||1|||||
T15|EJECUCION DE UNA CAPA DE HORMIGON DE LIMPIEZA,  TIPO H12.5, DE 5 CM DE ESPESOR, EN EL FONDO DE LAS FOSAS DESTINADAS A FUNDACIONES.  CONTENIDO MINIMO DE CEMENTO 150 KG/M3.  VER ET.|||carguedas|02/02/2016|20/10/2016||0|||72.48|M3|792.4
T16|EJECUCION DE LOSAS DE FUNDACION EN SOTANOS 2 Y 1, EN H.A. TIPO H25- E=0.60M, DE ACUERDO A LAS ET Y EN PLANOS ESTRUCTURALES.|||carguedas|02/02/2016|20/10/2016||0|||429.69|M3|2101.87
T17|EJECUCION DE VIGAS DE FUNDACION, EQUILIBRIO Y ARRIOSTRE EN HORMIGON ARMADO TIPO H20, DE ACUERDO A LAS ET Y EN PLANOS ESTRUCTURALES.|||carguedas|02/02/2016|20/10/2016||0|||91.76|M3|2323.47
T18|EJECUCION DE LOSAS DE FUNDACION SOTANO 1 Y PARA AREA DE ASCENSORES EN HORMIGON ARMADO TIPO H25, E=0.40 M, DE ACUERDO A LAS ET Y EN PLANOS ESTRUCTURALES.|||carguedas|02/02/2016|20/10/2016||0|||35.16|M3|2024.05
T19|EJECUCION DE FUNDACIONES CORRIDAS PARA MUROS DE CONTENCION PERIMETRALES EN HORMIGON ARMADO TIPO H25, DE ACUERDO A LAS ET Y EN PLANOS ESTRUCTURALES.|||carguedas|02/02/2016|20/10/2016||0|||14.94|M3|2168.86
T20|EJECUCION DE CIMIENTOS Y SOBRECIMENTOS DE HORMIGON ARMADO|||carguedas|02/02/2016|20/10/2016||0|||12.7|M3|2168.86
T21|EJECUCION DE MUROS DE CONTENCION EN HORMIGON ARMADO TIPO H25, PARA LOS MUROS PERIMETRALES DE SOTANO DOS, SOTANO UNO Y PLANTA BAJA, DE ACUERDO A LOS PLANOS ESTRUCTURALES.|||carguedas|02/02/2016|20/10/2016||0|||198.85|M3|2526.39
T22|EJECUCION DE MUROS DE CONTENCION EN HORMIGON ARMADO TIPO H25, PARA LOS MUROS PERIMETRALES DE SALA DE TRANSFORMADORES, DE ACUERDO A LOS PLANOS ESTRUCTURALES.|||carguedas|02/02/2016|20/10/2016||0|||8.44|M3|2501.52
T23|EJECUCION DE MUROS PORTANTES EN HORMIGON ARMADO TIPO H25, DE ACUERDO A LOS PLANOS ESTRUCTURALES.|||carguedas|02/02/2016|20/10/2016||0|||179.49|M3|2501.52
T24|EJECUCION DE MUROS PORTANTES EN HORMIGON ARMADO TIPO H25, PARA ASCENSORES, CON ACABADO VISTO DE LAS CARAS EXTERIORES, CON TEXTURA DE ACUERDO A DETALLE ARQUITECTONICO Y A LOS PLANOS ESTRUCTURALES. ET.|||carguedas|02/02/2016|20/10/2016||0|||103.47|M3|2915.11
T25|EJECUCION DE MUROS PORTANTES EN HORMIGON ARMADO TIPO H25, PARA ESCALERAS, CON ACABADO VISTO CON TEXTURA DE ACUERDO CON DETALLE ARQUITECTONICO Y A LOS PLANOS ESTRUCTURALES. ET|||carguedas|02/02/2016|20/10/2016||0|||65|M3|2915.11
T26|EJECUCION DE MUROS PORTANTES CURVOS  EN HORMIGON ARMADO TIPO H25, PARA AREA AUDITORIO, DE ACUERDO CON DETALLE ARQUITECTONICO Y A LOS PLANOS ESTRUCTURALES Y ET|||carguedas|02/02/2016|20/10/2016||0|||56.04|M3|2915.11
T27| EJECUCION DE COLUMNAS CIRCULARES DE HORMIGON ARMADO, TIPO H25 DE ACUERDO A LAS DIMENSIONES SENALADAS EN PLANOS ESTRUCTURALES, SEGUN ET.|||carguedas|02/02/2016|20/10/2016||0|||3.84|M3|2501.52
T28| EJECUCION DE COLUMNAS RECTANGULARES DE HORMIGON ARMADO, TIPO H25 DE ACUERDO A LAS DIMENSIONES SENALADAS EN PLANOS ESTRUCTURALES Y ET.|||carguedas|02/02/2016|20/10/2016||0|||73.69|M3|2451.8
T29|EJECUCION DE VIGAS NORMALES TIPO DINTEL CON HORMIGON TIPO H25, DE ACUERDO A PLANOS DE DISENO Y ET|||carguedas|02/02/2016|20/10/2016||0|||291.3|M3|2451.8
T30|EJECUCION DE VIGAS NORMALES TIPO DINTEL DE SECCION VARIABLE EN HORMIGON TIPO H25, DE ACUERDO A PLANOS DE DISENO Y ET|||carguedas|02/02/2016|20/10/2016||0|||2.09|M3|2451.8
T31|EJECUCION DE VIGAS NORMALES TIPO DINTEL CURVAS, PARA GRADERIAS EN HORMIGON TIPO H25, DE ACUERDO A PLANOS DE DISENO Y ET|||carguedas|02/02/2016|20/10/2016||0|||15.29|M3|2501.52
T32|EJECUCION DE VIGAS PLANAS DE CON HORMIGON TIPO H25, DE ACUERDO A PLANOS DE DISENO. INCLUYE LA EJECUCION DE CORDONES TIPO PRETIL.|||carguedas|02/02/2016|20/10/2016||0|||2.96|M3|2451.8
T33|EJECUCION DE VIGAS INVERTIDAS DE HORMIGON TIPO H25, DE ACUERDO A PLANOS DE DISENO Y ET|||carguedas|02/02/2016|20/10/2016||0|||6.56|M3|2451.8
T34|EJECUCION DE ENTREPISO NERVURADO, CON ESPESOR TOTAL DE 0.15 M (0.05M DE LOSA DE COMPRESION) EN HORMIGON ARMADO TIPO H25, DE ACUERDO A LAS ET Y EN PLANOS ESTRUCTURALES.|||carguedas|02/02/2016|20/10/2016||0|||6.81|M3|2562.85
T35|EJECUCION DE ENTREPISO NERVURADO, CON ESPESOR TOTAL DE 0.25 M (0.05M DE LOSA DE COMPRESION) EN HORMIGON ARMADO TIPO H25, DE ACUERDO A LAS ET Y EN PLANOS ESTRUCTURALES.|||carguedas|02/02/2016|20/10/2016||0|||221.27|M3|2562.85
T36|EJECUCION DE ENTREPISO NERVURADO, CON ESPESOR TOTAL DE 0.30 M (0.05M DE LOSA DE COMPRESION) EN HORMIGON ARMADO TIPO H25, DE ACUERDO A LAS ET Y EN PLANOS ESTRUCTURALES.|||carguedas|02/02/2016|20/10/2016||0|||202.75|M3|2513.13
T37|EJECUCION DE ENTREPISO NERVURADO, CON ESPESOR TOTAL DE 0.35 M (0.05M DE LOSA DE COMPRESION) EN HORMIGON ARMADO TIPO H25, DE ACUERDO A LAS ET Y EN PLANOS ESTRUCTURALES.|||carguedas|02/02/2016|20/10/2016||0|||92.41|M3|2513.13
T38|EJECUCION DE LOSAS MACIZAS, CON ESPESOR DE 0.15 M EN HORMIGON ARMADO TIPO H25, DE ACUERDO A LOS PLANOS ESTRUCTURALES.|||carguedas|02/02/2016|20/10/2016||0|||8.9|M3|2513.13
T39|EJECUCION DE ABACOS PERDIDOS, CON ALTURA DE 0.30 M EN HORMIGON ARMADO TIPO H25, DE ACUERDO A PLANOS ESTRUCTURALES.|||carguedas|02/02/2016|20/10/2016||0|||1.5|M3|2513.13
T40|BORDE TIPO BOTAGUAS EN HORMIGON ARMADO TIPO H25, EN LOSAS Y VIGAS|||carguedas|02/02/2016|20/10/2016||0|||3.96|M3|2463.4
T41|EJECUCION DE ESCALERAS Y LOSAS DE DESCANSO LLENAS, CON ESPESOR DE 0.15 M EN HORMIGON ARMADO TIPO H25, DE ACUERDO A LOS PLANOS ESTRUCTURALES.|||carguedas|02/02/2016|20/10/2016||0|||43.95|M3|2600.95
T42|EJECUCION DE LOSAS DE HORMIGON TIPO B (H20) SOBRE TERRENO, ESPESOR 0.10M, INCLUYENDO COMPACTACION, HORMIGON DE LIMPIEZA, AISLANTE HIDROFUGO, SEGUN ET SEC. 03 90 01|||carguedas|02/02/2016|20/10/2016||0|||84.7|M3|1719.55
T43|S|||carguedas|02/02/2016|20/10/2016||0|||211163|KG|14.89
T44|SUMINISTRO, CORTADO, COLOCADO Y SUJECION BLOQUES DE STYROPOR PARA LA CONFORMACION DE LA LOSA ALIGERADA EN DIMENSIONES DE 0.40X0.40X0.20M DE ACUERDO CON LAS ET.|||carguedas|02/02/2016|20/10/2016||0|||7254|PZA|28.25
T45|SUMINISTRO, CORTADO, COLOCADO Y SUJECION BLOQUES DE STYROPOR PARA LA CONFORMACION DE LA LOSA ALIGERADA EN DIMENSIONES DE 0.40X0.40X0.25M DE ACUERDO CON LAS ET.|||carguedas|02/02/2016|20/10/2016||0|||5792|PZA|15.27
T46|SUMINISTRO, CORTADO, COLOCADO Y SUJECION BLOQUES DE STYROPOR PARA LA CONFORMACION DE LA LOSA ALIGERADA EN DIMENSIONES DE 0.40X0.40X0.30M DE ACUERDO CON LAS ET.|||carguedas|02/02/2016|20/10/2016||0|||369|PZA|18.01
T47|SUMINISTRO, CORTADO, COLOCADO Y SUJECION BLOQUES DE STYROPOR PARA LA CONFORMACION DE LA LOSA ALIGERADA EN DIMENSIONES DE 1.00X0.40X0.10M DE ACUERDO CON LAS ET.|||carguedas|02/02/2016|20/10/2016||0|||194|PZA|15.27
T48|ENTRAMADO METALICO PARA CONFORMACION DEL ENTARIMADO DE ESCENARIO, CONFORMADO POR PERFILES TUBULARES 150X100X3|||carguedas|02/02/2016|20/10/2016||0|||1224|KG|31.99
T49|EJECUCION Y MONTAJE DE LA ESTRUCTURA METALICA DE CUBIERTA, MEDIANTE PERFILES TUBULARES, DE ACUERDO A DISENO ESPECIFICO Y A LAS ET. LA ESTRUCTURA COMPRENDE:  - SUPERFICIE HORIZONTAL CUBIERTA 84 M2.- ENTRAMADO A|||carguedas|02/02/2016|20/10/2016||0|||750|KG|47.12
MOD4|ARQUITECTURA|||carguedas||||1|||||
MOD5|MAMPOSTERIA - MUROS Y ALBANILERIA|||carguedas||||1|||||
T50|MUROS DE MAMPOSTERIA DE LADRILLO 6H PARA REVESTIR, ESPESOR ACABADO 0,20 M, DESTINADO A MUROS  EXTERNOS. ESPECIFICACIONES SEC. 501|||carguedas|08/02/2016|08/02/2017||0|||1298.6|M2|156.37
T51|MUROS DE MAMPOSTERIA DE LADRILLO HUECO 6H PARA REVESTIR, ESPESOR  ACABADO 0,15 M, DESTINADO A DIVISION DE AMBIENTES. ESPECIFICACIONES SEC. 501|||carguedas|08/02/2016|08/02/2017||0|||2177|M2|147.75
T52|MUROS DE MAMPOSTERIA DE LADRILLO HUECO PARA REVESTIR, ESPESOR ACABADO 0,10 M , DESTINADO A MUROS  DE SHAFTS. ESPECIFICACIONES SEC. 501|||carguedas|08/02/2016|08/02/2017||0|||101|M2|127.48
T53|BORDILLO DE HORMIGON EN LOSA DE CUBIERTA, CON ALTURA DE 20 CM PARA REMATE Y PROTECCION DE MANTA DE IMPERMEABILIZACION EN SU PERIMETRO. PLANO DE DETALLE No D14.|||carguedas|08/02/2016|08/02/2017||0|||94|ML|186.46
T54|BORDILLO DE HORMIGON ARMADO   EN LOS SECTORES DE ACCESO A CUBIERTAS.|||carguedas|08/02/2016|08/02/2017||0|||4|ML|138.74
T55|BORDILLO DE HORMIGON ARMADO  PARA CONFORMACION DE BORDE  DE JARDINERAS EN PLANTA BAJA H= 20 CM.   PLANO DE DETALLE D17.|||carguedas|08/02/2016|08/02/2017||0|||55|ML|126.24
MOD6|IMPERMEABILIZACIONES|||carguedas||||1|||||
T56|IMPERMEABILIZACION DE LOSAS DE CUBIERTA, MEDIANTE MEMBRANA ASFALTICA DE 4 MM CON REVESTIMIENTO DE ALUMINIO. PLANO DE DETALLE No D14.  ESPECIFICACIONES SEC. 601|||carguedas|08/02/2016|08/02/2017||0|||598|M2|116.65
T57|IMPERMEABILIZACION DE LOSA DE INGRESOS EN PLANTA BAJA Y PISO DE LA TERRAZA EN LA GALERIA, MEDIANTE MEMBRANA ASFALTICA DE 4MM. ESPECIFICACIONES SEC. 601|||carguedas|08/02/2016|08/02/2017||0|||115|M2|116.65
T58|IMPERMEABILIZACION DE JARDINERAS DE PLANTA BAJA Y TERRAZA CON PINTURA RECUPLAST. PLANO DE DETALLE No D15. ESPECIFICACIONES SEC. 602|||carguedas|08/02/2016|08/02/2017||0|||88|M2|63.4
T59|IMPERMEABILIZACION DE LOS TANQUES DE AGUA. ESPECIFICACIONES SEC. 603|||carguedas|08/02/2016|08/02/2017||0|||64|M2|101.28
T60|SELLADO IMPERMEABLE, TRANSPARENTE MATE Y REPELENTE DE AGUA, PARA ESTRUCTURAS DE HORMIGON VISTO. ESPECIFICACIONES SEC. 604|||carguedas|08/02/2016|08/02/2017||0|||448|M2|31.68
T61|IMPERMEABILIZACION DE LA CARA POSTERIOR DE LOS MUROS DE CONTENCION CON POLIETILENO DE 200 MICRONES CON TRANSLAPES DE 0.30 M, SEGUN DETALLE PL. ES18 Y ET.|||carguedas|08/02/2016|08/02/2017||0|||756|M2|62.98
MOD7|REVESTIMIENTO DE FACHADAS|||carguedas||||1|||||
T62|FACHADA DE MUROS EXTERIORES  CON REVOQUE DE MORTERO DE CAL HIDRATADA, CEMENTO Y ARENA, INCLUYE BUNAS. ESPECIFICACIONES SEC.  605|||carguedas|08/02/2016|08/02/2017||0|||2189.21|M2|151.52
T63|BOTAGUAS PREFABRICADOS DE HORMIGON ARMADO. PLANO DE DETALLE No D16.  ESPECIFICACIONES SEC. 607|||carguedas|08/02/2016|08/02/2017||0|||106.33|ML|128.7
T64|REVOQUE DE MUROS EXTERIORES CON MORTERO DE CEMENTO CON ACABADO TIPO HORMIGON VISTO|||carguedas|08/02/2016|08/02/2017||0|||460|M2|247.55
T65|JARDINES EN PLANTA BAJA, INCLUYE ACABADO, DRENAJES, GRAVA Y TIERRA. PLANO DE DETALLE No D17.|||carguedas|08/02/2016|08/02/2017||0|||165|M2|130.06
T66|JARDINES EN TERRAZA DE GALERIA, INCLUYE ACABADO, DRENAJES, GRAVA Y TIERRA. PLANO DE DETALLE No D15.|||carguedas|08/02/2016|08/02/2017||0|||30|M2|130.06
MOD8|REVESTIMIENTO DE CIELOS|||carguedas||||1|||||
T67|CIELO RASO DE YESO ENLUCIDO SOBRE LOSA. ESPECIFICACIONES SEC. 610|||carguedas|08/02/2016|08/02/2017||0|||1107|M2|86.17
T68|PROVISION E INSTALACION DE CIELO RASO FALSO CON PLACAS ARMSTRONG, TIPO ULTIMA VECTOR 1920, TEXTURA FINA, CON SISTEMA DE SUSPENCION T. PLANO DE DETALLE No D13. ESPECIFICACIONES SEC. 611|||carguedas|08/02/2016|08/02/2017||0|||596|M2|201.83
T69|CIELO RASO FALSO DE CARTON YESO, SOBRE ENTRAMADO METALICO. PLANO DE DETALLE No D6.ESPECIFICACIONES SEC.  612|||carguedas|08/02/2016|08/02/2017||0|||1836|M2|191.35
T70|PROVISION E INSTALACION DE CIELO RASO FALSO CON PLACAS DE MADERA CEDRO, CON SISTEMA METALICO INCLUIDO .|||carguedas|08/02/2016|08/02/2017||0|||199|M2|175.07
T71|CENEFA DE PANEL AMSTRONG PARA LA COLOCACION DE LUZ INDIRECTA EN CIELO FALSO Y PLAFONES EN AREAS INDICADAS DEL TEATRO, ESP. 649|||carguedas|08/02/2016|08/02/2017||0|||47|ML|284.37
MOD9|REVESTIMIENTO DE MUROS|||carguedas||||1|||||
T72|REVOQUE DE MUROS INTERIORES CON YESO. ESPECIFICACIONES SEC. 617|||carguedas|08/02/2016|08/02/2017||0|||6060|M2|78.94
