ref|label|hilo|item|login|fechaini|fechafin|detail|group|type|typename|unitprogram|unit|price
TK1510-0001|esto es una tarea nueva de paquete|||admindb|26/10/2015 12:00 AM|29/10/2015 12:00 AM||0|||23|LM|123
IT010015|REPLANTEO Y TRAZADO DE TUBERIAS|||mguzman; admindb|29/10/2015 12:00 AM|31/10/2015 12:00 AM|Replanteo de ejemplo|-1|||14||0
TK1510-0002|ESTO ES UNA NUEVA TAREA MANUAL|||admindb|30/10/2015 12:00 AM|31/10/2015 12:00 AM||0|||26|M2|134
IT010001|AGOTAMIENTO PARA EXCAVACION|||admindb|06/11/2015 12:00 AM|07/11/2015 12:00 AM||0|||22|S|12
TA001|Tarea de control 1|||jseborga|14/11/2015 12:00 PM|15/11/2015 12:00 PM|esto es un detalle 1|0|||101|P|102
TA002|Tarea de control 2|||jseborga|16/11/2015 12:00 PM|21/11/2015 12:00 PM|esto es un detalle 2|0|||2|H|0
TA003|Tarea de control 3|||jseborga|22/11/2015 12:00 PM|27/11/2015 12:00 PM||1|||3||0
TA004|Tarea de control 4|TA003||jseborga|28/11/2015 12:00 PM|03/12/2015 12:00 PM||0|||4.1|KG|0
TA005|Tarea de control 5|||jseborga|04/12/2015 12:00 PM|09/12/2015 12:00 PM||0|||5|LM|0
TA006|Tarea de control 6|||jseborga|10/12/2015 12:00 PM|15/12/2015 12:00 PM||0|||6|G|0
TA007|Tarea de control 7|||jseborga|16/12/2015 12:00 PM|21/12/2015 12:00 PM||0|||7|M|0
TA008|Tarea de control 8||IT010015|jseborga|22/12/2015 12:00 PM|27/12/2015 12:00 PM|esto es un detalle 8|0|||8|M|0
TA009|Tarea de control 9|||jseborga|28/12/2015 12:00 PM|02/01/2016 12:00 PM||0|||9|M|0
TA010|Tarea de control 10|||jseborga|03/01/2016 12:00 PM|08/01/2016 12:00 PM||0|||10|C3|0
TA011|Tarea de control 11|||jseborga|09/01/2016 12:00 PM|14/01/2016 12:00 PM||0|||11|C2|0
