label;description;code_parent
0101;HILADOS                                                                                             ;01
0212;VARIOS                                                                                              ;02
0305;PARKAS                                                                                              ;03
0503;PAPEL DE ESCRITORIO                                                                                 ;05
0504;FORMULARIOS CONTINUOS                                                                               ;05
0603;CUADERNO                                                                                            ;06
0606;PAPEL CARBONICO Y OTROS                                                                             ;06
0613;VARIOS                                                                                              ;06
0615;PAPEL AUTOADHESIVO                                                                                  ;06
0701;ARCHIVADORES CON MECANISMO                                                                          ;07
0706;CARTULINAS                                                                                          ;07
0707;PAPEL HIGIENICO                                                                                     ;07
0710;SOBRES                                                                                              ;07
1204;REVELADORES                                                                                         ;12
1206;VARIOS                                                                                              ;12
1207;VARIOS - MANTENIMIENTO                                                                              ;12
1301;ACEITES                                                                                             ;13
1305;GAS                                                                                                 ;13
1306;GASOLINA                                                                                            ;13
1307;PRODUCTOS QUIMICOS                                                                                  ;13
1401;PINTURAS                                                                                            ;14
1403;TINTAS PARA IMPRENTA                                                                                ;14
1409;TINTES PARA COMBINAR COLORES                                                                        ;14
1504;OTROS                                                                                               ;15
1601;AMBIENTADORES SPRAY                                                                                 ;16
1602;PEGAMENTOS                                                                                          ;16
1605;OTROS                                                                                               ;16
2008;PLASTICOS                                                                                           ;20
2012;RAMPLUG                                                                                             ;20
2023;VARIOS                                                                                              ;20
2109;BISAGRAS                                                                                            ;21
2110;BROCAS                                                                                              ;21
2114;CHAPAS                                                                                              ;21
2116;BRAZO HIDRAULICO                                                                                    ;21
2126;LLAVES DE PASO                                                                                      ;21
2128;PERNOS                                                                                              ;21
2141;TORNILLOS                                                                                           ;21
2153;CHICOTILLOS METALICOS                                                                               ;21
2162;VARIOS                                                                                              ;21
2168;VARIOS                                                                                              ;21
2170;GRIFOS                                                                                              ;21
2505;LIMPIADORES                                                                                         ;25
2511;ESPONJAS                                                                                            ;25
2516;OTROS                                                                                               ;25
2805;BOLIGRAFOS                                                                                          ;28
2810;CINTAS                                                                                              ;28
2811;CLIPS                                                                                               ;28
2812;ACCESORIOS DE ESCRITORIO                                                                            ;28
2813;DESPACHADORA DE DIUREX                                                                              ;28
2818;DIUREX                                                                                              ;28
2822;ESTILETES - CUCHILLAS                                                                               ;28
2823;ETIQUETAS                                                                                           ;28
2824;FIBROGRAFOS                                                                                         ;28
2826;FOLDERS                                                                                             ;28
2828;GOMAS                                                                                               ;28
2829;GRAPAS                                                                                              ;28
2830;LAPICES                                                                                             ;28
2831;LIGAS                                                                                               ;28
2833;LIQUIDOS CORRECTORES                                                                                ;28
2834;MARCADORES                                                                                          ;28
2836;FASTENERS                                                                                           ;28
2841;NUMERADORES                                                                                         ;28
2842;PERFORADORAS                                                                                        ;28
2843;PLASTICO ADHESIVO                                                                                   ;28
2848;REGLAS                                                                                              ;28
2851;SELLOS                                                                                              ;28
2852;SEÑALADORES                                                                                         ;28
2853;TAJADORES                                                                                           ;28
2854;TAMPO                                                                                               ;28
2857;TESAS                                                                                               ;28
2859;TINTAS DE ESCRITORIO                                                                                ;28
2860;SELLOS                                                                                              ;28
2863;SUJETA PAPELES                                                                                      ;28
2864;OTROS                                                                                               ;28
2866;TONNERS  VARIOS                                                                                     ;28
2867;CARTRIDGES                                                                                          ;28
2868;TONNERS VARIOS                                                                                      ;28
2906;CABLES                                                                                              ;29
2914;FOCOS                                                                                               ;29
2916;FUSIBLES                                                                                            ;29
2922;LUMINARIAS                                                                                          ;29
2924;PILAS (BATERIAS)                                                                                    ;29
2925;REACTANCIAS                                                                                         ;29
2933;TUBOS FLUORESCENTES                                                                                 ;29
2936;DUCHAS                                                                                              ;29
2942;VARIOS                                                                                              ;29
2944;MATERIALES ELECTRICOS PARA COMPUTADORAS                                                             ;29
2946;DUCTOS                                                                                              ;29
2947;CINTA ADHESIVA                                                                                      ;29
3108;PLACAS NEGATIVAS                                                                                    ;31
3131;VARIOS                                                                                              ;31
3201;REPUESTOS VARIOS                                                                                    ;32
3210;REPUESTOS PARA VEHÍCULOS                                                                            ;32
5401;VARIOS                                                                                              ;54
5402;GASEOSAS                                                                                            ;54
5403;AGUAS                                                                                               ;54
5404;JUGOS                                                                                               ;54
5405;CAFÉ                                                                                                ;54
5406;MATE                                                                                                ;54
5407;TÉ                                                                                                  ;54
5408;AZUCAR                                                                                              ;54
9907;PRODUCTOS DE PAPEL Y CARTON                                                                         ;99
9928;TONNERS                                                                                             ;99
9938;INSUMOS DE LIMPIEZA                                                                                 ;99
9943;DMMI - ALBAÑILERIA                                                                                  ;99
9944;DMMI - PLOMERIA                                                                                     ;99
9945;DMMI - ELECTRICIDAD                                                                                 ;99
9946;DMMI - CALEFACCION                                                                                  ;99
9947;DMMI - CARPINTERIA                                                                                  ;99
9948;DMMI - ELECTRONICA                                                                                  ;99
9949;DMMI - SEGURIDAD MECANICA                                                                           ;99
9951;VARIOS                                                                                              ;99
