label;description;code_parent
0101;HILADOS                                                                                             ;01
0213;CORTINAS                                                                                            ;02
0701;ARCHIVADORES CON MECANISMO                                                                          ;07
0706;CARTULINAS                                                                                          ;07
1206;VARIOS                                                                                              ;12
1306;GASOLINA                                                                                            ;13
1409;TINTES PARA COMBINAR COLORES                                                                        ;14
1602;PEGAMENTOS                                                                                          ;16
1605;OTROS                                                                                               ;16
2012;RAMPLUG                                                                                             ;20
2023;VARIOS                                                                                              ;20
2112;CANDADOS                                                                                            ;21
2153;CHICOTILLOS METALICOS                                                                               ;21
2162;VARIOS                                                                                              ;21
2170;GRIFOS                                                                                              ;21
2906;CABLES                                                                                              ;29
2914;FOCOS                                                                                               ;29
2920;LAMPARAS                                                                                            ;29
2922;LUMINARIAS                                                                                          ;29
2924;PILAS (BATERIAS)                                                                                    ;29
2925;REACTANCIAS                                                                                         ;29
2933;TUBOS FLUORESCENTES                                                                                 ;29
2942;VARIOS                                                                                              ;29
2946;DUCTOS                                                                                              ;29
2947;CINTA ADHESIVA                                                                                      ;29
3201;REPUESTOS VARIOS                                                                                    ;32
9943;DMMI - ALBAÑILERIA                                                                                  ;99
9944;DMMI - PLOMERIA                                                                                     ;99
9945;DMMI - ELECTRICIDAD                                                                                 ;99
9946;DMMI - CALEFACCION                                                                                  ;99
9947;DMMI - CARPINTERIA                                                                                  ;99
9948;DMMI - ELECTRONICA                                                                                  ;99
9949;DMMI - SEGURIDAD MECANICA                                                                           ;99
