code_parent;des_grupo;label;description
02;CONFECCIONES TEXTILES                                                                               ;0212;VARIOS                                                                                              
02;CONFECCIONES TEXTILES                                                                               ;0213;CORTINAS                                                                                            
06;PRODUCTOS DE ARTES GRAFICAS                                                                         ;0613;VARIOS                                                                                              
12;SUSTANCIAS QUIMICAS                                                                                 ;1206;VARIOS                                                                                              
14;TINTAS PINTURAS Y COLORANTES                                                                        ;1401;PINTURAS                                                                                            
14;TINTAS PINTURAS Y COLORANTES                                                                        ;1409;TINTES PARA COMBINAR COLORES                                                                        
16;OTROS MATERIALES QUIMICOS                                                                           ;1602;PEGAMENTOS                                                                                          
19;CEMENTO CAL Y YESO                                                                                  ;1902;CEMENTO                                                                                             
20;PRODUCTOS DE MATERIALES PLASTICOS                                                                   ;2012;RAMPLUG                                                                                             
20;PRODUCTOS DE MATERIALES PLASTICOS                                                                   ;2023;VARIOS                                                                                              
21;PRODUCTOS DE METAL                                                                                  ;2101;ABRAZADERAS                                                                                         
21;PRODUCTOS DE METAL                                                                                  ;2111;CAJAS                                                                                               
21;PRODUCTOS DE METAL                                                                                  ;2126;LLAVES DE PASO                                                                                      
21;PRODUCTOS DE METAL                                                                                  ;2141;TORNILLOS                                                                                           
21;PRODUCTOS DE METAL                                                                                  ;2142;TUBOS                                                                                               
21;PRODUCTOS DE METAL                                                                                  ;2162;VARIOS                                                                                              
21;PRODUCTOS DE METAL                                                                                  ;2166;ANGULAR                                                                                             
21;PRODUCTOS DE METAL                                                                                  ;2168;VARIOS                                                                                              
21;PRODUCTOS DE METAL                                                                                  ;2170;GRIFOS                                                                                              
28;UTILES DE ESCRITORIO Y OFICINA                                                                      ;2857;TESAS                                                                                               
28;UTILES DE ESCRITORIO Y OFICINA                                                                      ;2864;OTROS                                                                                               
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2906;CABLES                                                                                              
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2914;FOCOS                                                                                               
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2919;INTERRUPTORES                                                                                       
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2922;LUMINARIAS                                                                                          
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2924;PILAS (BATERIAS)                                                                                    
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2925;REACTANCIAS                                                                                         
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2933;TUBOS FLUORESCENTES                                                                                 
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2936;DUCHAS                                                                                              
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2942;VARIOS                                                                                              
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2944;MATERIALES ELECTRICOS PARA COMPUTADORAS                                                             
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2946;DUCTOS                                                                                              
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2947;CINTA ADHESIVA                                                                                      
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9943;DMMI - ALBAILERIA                                                                                  
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9944;DMMI - PLOMERIA                                                                                     
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9945;DMMI - ELECTRICIDAD                                                                                 
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9946;DMMI - CALEFACCION                                                                                  
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9947;DMMI - CARPINTERIA                                                                                  
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9948;DMMI - ELECTRONICA                                                                                  
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9949;DMMI - SEGURIDAD MECANICA                                                                           
