code_parent;des_grupo;label;description
06;PRODUCTOS DE ARTES GRAFICAS                                                                         ;0606;PAPEL CARBONICO Y OTROS                                                                             
07;PRODUCTOS DE PAPEL Y CARTON                                                                         ;0713;VARIOS                                                                                              
12;SUSTANCIAS QUIMICAS                                                                                 ;1206;VARIOS                                                                                              
12;SUSTANCIAS QUIMICAS                                                                                 ;1207;VARIOS - MANTENIMIENTO                                                                              
13;COMBUSTIBLES Y LUBRICANTES                                                                          ;1306;GASOLINA                                                                                            
14;TINTAS PINTURAS Y COLORANTES                                                                        ;1401;PINTURAS                                                                                            
16;OTROS MATERIALES QUIMICOS                                                                           ;1602;PEGAMENTOS                                                                                          
19;CEMENTO CAL Y YESO                                                                                  ;1902;CEMENTO                                                                                             
19;CEMENTO CAL Y YESO                                                                                  ;1906;ARENA                                                                                               
20;PRODUCTOS DE MATERIALES PLASTICOS                                                                   ;2012;RAMPLUG                                                                                             
20;PRODUCTOS DE MATERIALES PLASTICOS                                                                   ;2023;VARIOS                                                                                              
20;PRODUCTOS DE MATERIALES PLASTICOS                                                                   ;2025;CODOS                                                                                               
21;PRODUCTOS DE METAL                                                                                  ;2119;COPLAS                                                                                              
21;PRODUCTOS DE METAL                                                                                  ;2124;"HIERRO ""T""                                                                                          "
21;PRODUCTOS DE METAL                                                                                  ;2127;NIPLES                                                                                              
21;PRODUCTOS DE METAL                                                                                  ;2141;TORNILLOS                                                                                           
21;PRODUCTOS DE METAL                                                                                  ;2153;CHICOTILLOS METALICOS                                                                               
21;PRODUCTOS DE METAL                                                                                  ;2162;VARIOS                                                                                              
21;PRODUCTOS DE METAL                                                                                  ;2170;GRIFOS                                                                                              
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2906;CABLES                                                                                              
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2907;CONECTORES                                                                                          
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2908;CONTACTORES MAGNETICOS                                                                              
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2914;FOCOS                                                                                               
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2920;LAMPARAS                                                                                            
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2924;PILAS (BATERIAS)                                                                                    
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2925;REACTANCIAS                                                                                         
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2933;TUBOS FLUORESCENTES                                                                                 
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2936;DUCHAS                                                                                              
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2937;FLOTADORES                                                                                          
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2942;VARIOS                                                                                              
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2946;DUCTOS                                                                                              
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2947;CINTA ADHESIVA                                                                                      
32;OTROS REPUESTOS Y ACCESORIOS                                                                        ;3207;REPUESTOS PARA ASCENSORES                                                                           
32;OTROS REPUESTOS Y ACCESORIOS                                                                        ;3221;VARIOS                                                                                              
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9943;DMMI - ALBAÑILERIA                                                                                  
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9944;DMMI - PLOMERIA                                                                                     
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9945;DMMI - ELECTRICIDAD                                                                                 
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9946;DMMI - CALEFACCION                                                                                  
99;MATERIALES NO CONTABILIZABLES (CTRL.FISICO)                                                         ;9949;DMMI - SEGURIDAD MECANICA                                                                           
