label;description;code_parent
2925;REACTANCIAS                                                                                         ;29
2925;REACTANCIAS                                                                                         ;29
2933;TUBOS FLUORESCENTES                                                                                 ;29
9945;DMMI - ELECTRICIDAD                                                                                 ;99
9945;DMMI - ELECTRICIDAD                                                                                 ;99
9946;DMMI - CALEFACCION                                                                                  ;99
2942;VARIOS                                                                                              ;29
9945;DMMI - ELECTRICIDAD                                                                                 ;99
9945;DMMI - ELECTRICIDAD                                                                                 ;99
9946;DMMI - CALEFACCION                                                                                  ;99
9949;DMMI - SEGURIDAD MECANICA                                                                           ;99
2942;VARIOS                                                                                              ;29
9945;DMMI - ELECTRICIDAD                                                                                 ;99
9944;DMMI - PLOMERIA                                                                                     ;99
9944;DMMI - PLOMERIA                                                                                     ;99
1409;TINTES PARA COMBINAR COLORES                                                                        ;14
9943;DMMI - ALBAÑILERIA                                                                                  ;99
9943;DMMI - ALBAÑILERIA                                                                                  ;99
9943;DMMI - ALBAÑILERIA                                                                                  ;99
9945;DMMI - ELECTRICIDAD                                                                                 ;99
2925;REACTANCIAS                                                                                         ;29
2933;TUBOS FLUORESCENTES                                                                                 ;29
1207;VARIOS - MANTENIMIENTO                                                                              ;12
9943;DMMI - ALBAÑILERIA                                                                                  ;99
9949;DMMI - SEGURIDAD MECANICA                                                                           ;99
2023;VARIOS                                                                                              ;20
2942;VARIOS                                                                                              ;29
9943;DMMI - ALBAÑILERIA                                                                                  ;99
1605;OTROS                                                                                               ;16
2933;TUBOS FLUORESCENTES                                                                                 ;29
2942;VARIOS                                                                                              ;29
2942;VARIOS                                                                                              ;29
9943;DMMI - ALBAÑILERIA                                                                                  ;99
9949;DMMI - SEGURIDAD MECANICA                                                                           ;99
2107;BARRAS                                                                                              ;21
2107;BARRAS                                                                                              ;21
2107;BARRAS                                                                                              ;21
2109;BISAGRAS                                                                                            ;21
2109;BISAGRAS                                                                                            ;21
2151;PLANCHAS                                                                                            ;21
2162;VARIOS                                                                                              ;21
2162;VARIOS                                                                                              ;21
2162;VARIOS                                                                                              ;21
9946;DMMI - CALEFACCION                                                                                  ;99
9945;DMMI - ELECTRICIDAD                                                                                 ;99
9947;DMMI - CARPINTERIA                                                                                  ;99
2924;PILAS (BATERIAS)                                                                                    ;29
2942;VARIOS                                                                                              ;29
3201;REPUESTOS VARIOS                                                                                    ;32
2942;VARIOS                                                                                              ;29
2942;VARIOS                                                                                              ;29
2936;DUCHAS                                                                                              ;29
1306;GASOLINA                                                                                            ;13
2942;VARIOS                                                                                              ;29
9945;DMMI - ELECTRICIDAD                                                                                 ;99
2925;REACTANCIAS                                                                                         ;29
2925;REACTANCIAS                                                                                         ;29
2942;VARIOS                                                                                              ;29
2942;VARIOS                                                                                              ;29
2907;CONECTORES                                                                                          ;29
3131;VARIOS                                                                                              ;31
3208;ACCESORIOS                                                                                          ;32
