gestion;code;label;active
2015;10000;SERVICIOS PERSONALES;1
2015;11000;Empleados Permanentes;1
2015;11100;Haberes Básicos;1
2015;11200;Bono de Antiguedad;1
2015;11210;Categorías Magisterio 11220 Bono de Antiguedad;1
2015;11300;Bonificaciones;1
2015;11310;Bono de Frontera;1
2015;11320;Remuneraciones Colaterales Médicas y de Trabajadores en Salud;1
2015;11321;Categorías Médicas;1
2015;11322;Escalafón Médico;1
2015;11323;Escalafón de los Trabajadores en Salud;1
2015;11324;Otras Remuneraciones;1
2015;11330;Otras Bonificaciones;1
2015;11400;Aguinaldos;1
2015;11500;Primas y Bono de Producción;1
2015;11510;Primas;1
2015;11520;Bono de Producción;1
2015;11600;Asignaciones Familiares;1
2015;11700;Sueldos;1
2015;11800;Dietas;1
2015;11810;Dietas de Directorio;1
2015;11820;Otras Dietas;1
2015;11900;Otros Servicios Personales;1
2015;11910;Horas Extraordinarias 11920 Vacaciones no Utilizadas 11930 Incentivos Económicos 11940 Suplencias;1
2015;12000;Empleados No Permanentes;1
2015;12100;Personal Eventual;1
2015;13000;Previsión Social;1
2015;11100;Haberes Básicos.;1
2015;11200;Bono de Antiguedad.;1
2015;11300;Bonificaciones.;1
2015;11700;Sueldos;1
2015;11900;Otros Servicios Personales;1
2015;12100;Personal Eventual;1
2015;13100;Aporte Patronal al Seguro Social;1
2015;13110;Régimen de Corto Plazo (Salud);1
2015;13120;Prima de Riesgo Profesional Régimen de Largo Plazo 13130 Aporte Patronal Solidario Régimen de Largo Plazo;1
2015;13131;Aporte Patronal Solidario 3%;1
2015;13132;Aporte Patronal Minero Solidario 2%;1
2015;13200;Aporte Patronal para Vivienda;1
2015;14000;Otros;1
2015;14100;Otros;1
2015;15000;Previsiones para Incremento de Gastos en Servicios Personales;1
2015;15100;Incremento Salarial;1
2015;15200;Crecimiento Vegetativo;1
2015;15300;Creación de Ítemes;1
2015;15400;Otras Previsiones;1
2015;20000;SERVICIOS NO PERSONALES;1
2015;21000;Servicios Básicos;1
2015;21100;Comunicaciones;1
2015;21200;Energía Eléctrica;1
2015;21300;Agua;1
2015;21400;Telefonía;1
2015;21500;Gas Domiciliario;1
2015;21600;Internet y Otros;1
2015;22000;Servicios de Transporte y Seguros;1
2015;22100;Pasajes;1
2015;22110;Pasajes al Interior del País;1
2015;22120;Pasajes al Exterior del País;1
2015;22200;Viáticos;1
2015;22210;Viáticos por Viajes al Interior del País. 22220 Viáticos por Viajes al Exterior del País.;1
2015;22300;Fletes y Almacenamiento;1
2015;22400;Gastos de Instalación y Retorno;1
2015;22500;Seguros;1
2015;22600;Transporte de Personal;1
2015;23000;Alquileres;1
2015;23100;Alquiler de Edificios;1
2015;23200;Alquiler de Equipos y Maquinarias;1
2015;23300;Alquiler de Tierras y Terrenos;1
2015;23400;Otros Alquileres;1
2015;24000;Instalación, Mantenimiento y Reparaciones;1
2015;24100;Mantenimiento y Reparación de Inmuebles y Equipos;1
2015;24110;Mantenimiento y Reparación de Inmuebles;1
2015;24120;Mantenimiento y Reparación de Vehículos, Maquinaria y Equipos 24130 Mantenimiento y Reparación de Muebles y Enseres;1
2015;24200;Mantenimiento y Reparación de Vías de Comunicación;1
2015;24300;Otros Gastos por Concepto de Instalación, Mantenimiento y Reparación;1
2015;25000;Servicios Profesionales y Comerciales;1
2015;25100;Médicos, Sanitarios y Sociales;1
2015;25120;Gastos Especializados por Atención Médica y Otros;1
2015;25130;Gastos por Afiliación de Estudiantes Universitarios al Seguro Social;1
2015;25200;Estudios, Investigaciones, Auditorías Externas y Revalorizaciones;1
2015;25210;Consultorías por Producto;1
2015;25220;Consultores Individuales de Línea;1
2015;25230;Auditorías Externas;1
2015;25300;Comisiones y Gastos Bancarios;1
2015;25400;Lavandería, Limpieza e Higiene;1
2015;25500;Publicidad;1
2015;25600;Servicios de Imprenta, Fotocopiado y Fotográficos;1
2015;25700;Capacitación del Personal;1
2015;25800;Estudios e Investigaciones para Proyectos de Inversión No Capitalizables;1
2015;25810;Consultorías por Producto;1
2015;25820;Consultores Individuales de Línea;1
2015;25900;Servicios Manuales;1
2015;26000;Otros Servicios No Personales;1
2015;26200;Gastos Judiciales;1
2015;26300;Derechos sobre Bienes Intangibles;1
2015;26500;Conjueces y Jueces Ciudadanos;1
2015;26600;Servicio de Seguridad de los Batallones de Seguridad Física de la Policía Nacional y Vigilancia Privada;1
2015;26610;Servicios Públicos;1
2015;26620;Servicios Privados;1
2015;26630;Servicios por Traslado de Valores;1
2015;26900;Otros Servicios No Personales;1
2015;26910;Gastos de Representación;1
2015;26920;Fallas de Caja;1
2015;26930;Pago por Trabajos Dirigidos y Pasantías;1
2015;26940;Compensación Costo de Vida;1
2015;26990;Otros;1
2015;27000;Gastos por Servicios Especializados por la Actividad Extractiva de Recursos Naturales del Estado Plurinacional;1
2015;27100;Servicios por la Extracción, Transformación y Conversión de los Recursos Naturales de Propiedad del Estado Plurinacional.;1
2015;27110;Pago por Costos Incurridos;1
2015;27120;Pago por Utilidades;1
2015;30000;MATERIALES Y SUMINISTROS;1
2015;31000;Alimentos y Productos Agroforestales;1
2015;31100;Alimentos y Bebidas para Personas, Desayuno Escolar y Otros;1
2015;31110;Gastos por Refrigerios al personal permanente, eventual y consultores individuales de línea de las Instituciones Públicas;1
2015;31120;Gastos por Alimentación y Otros Similares;1
2015;31130;Desayuno Escolar;1
2015;31140;Alimentación Hospitalaria, Penitenciaria, Aeronaves y Otras Específicas 31150 Alimentos y Bebidas para la atención de emergencias y desastres naturales.;1
2015;31200;Alimentos para Animales;1
2015;31300;Productos Agrícolas, Pecuarios y Forestales;1
2015;32000;Productos de Papel, Cartón e Impresos;1
