cod_grupo;des_grupo;code_categorie;des_clase;ref;label
06;PRODUCTOS DE ARTES GRAFICAS                                                                         ;0606;PAPEL CARBONICO Y OTROS                                                                             ;0606026;"CINTA MASKIN 1"" (25 YDS)                                                                            "
07;PRODUCTOS DE PAPEL Y CARTON                                                                         ;0713;VARIOS                                                                                              ;0713017;CINTA DE PAPEL P/JUNTAS                                                                             
12;SUSTANCIAS QUIMICAS                                                                                 ;1206;VARIOS                                                                                              ;1206056;ADITIVO ANTICORROSIVO Y ANTI INCRUSTANTE PARA AGUA                                                  
12;SUSTANCIAS QUIMICAS                                                                                 ;1206;VARIOS                                                                                              ;1206095;FORMOLIMP CAPACIDAS (G/5 LTS)                                                                       
12;SUSTANCIAS QUIMICAS                                                                                 ;1206;VARIOS                                                                                              ;1206096;DESTAPACAÑO (G/5 LTS)                                                                               
12;SUSTANCIAS QUIMICAS                                                                                 ;1206;VARIOS                                                                                              ;1206097;DESINCRUSTANTE (G/5 LTS)                                                                            
12;SUSTANCIAS QUIMICAS                                                                                 ;1206;VARIOS                                                                                              ;1206098;MASILLA USG CAJA 20KG.                                                                              
12;SUSTANCIAS QUIMICAS                                                                                 ;1207;VARIOS - MANTENIMIENTO                                                                              ;1207014;FUNGICIDA RANCOL (500 GRS)                                                                          
12;SUSTANCIAS QUIMICAS                                                                                 ;1207;VARIOS - MANTENIMIENTO                                                                              ;1207015;INSECTICIDA HOOK (200 GRS)                                                                          
12;SUSTANCIAS QUIMICAS                                                                                 ;1207;VARIOS - MANTENIMIENTO                                                                              ;1207016;FUNGICIDA RAMFAFF (KILO)                                                                            
12;SUSTANCIAS QUIMICAS                                                                                 ;1207;VARIOS - MANTENIMIENTO                                                                              ;1207017;ABRILLANTADOR (BIDON 5 LTS)                                                                         
12;SUSTANCIAS QUIMICAS                                                                                 ;1207;VARIOS - MANTENIMIENTO                                                                              ;1207018;SUSTRATO MEZCLADO (BOLSAS)                                                                          
13;COMBUSTIBLES Y LUBRICANTES                                                                          ;1306;GASOLINA                                                                                            ;1306001;GASOLINA ESPECIAL                                                                                   
14;TINTAS PINTURAS Y COLORANTES                                                                        ;1401;PINTURAS                                                                                            ;1401076;PINTURA TIPO DUCO COLOR ROJO VIVO - GALON 3,5 LTS.                                                  
14;TINTAS PINTURAS Y COLORANTES                                                                        ;1401;PINTURAS                                                                                            ;1401078;PINTURA TIPO DUCO COLOR CAFÉ - GALON 3,5 LTS.                                                       
14;TINTAS PINTURAS Y COLORANTES                                                                        ;1401;PINTURAS                                                                                            ;1401081;PINTURA TIPO DUCO COLOR METALICO MEDIANO - GALON 3,5 LTS.                                           
16;OTROS MATERIALES QUIMICOS                                                                           ;1602;PEGAMENTOS                                                                                          ;1602044;SILICONA TRANSPARENTE DE 300 ML.                                                                    
19;CEMENTO CAL Y YESO                                                                                  ;1902;CEMENTO                                                                                             ;1902003;CEMENTO                                                                                             
19;CEMENTO CAL Y YESO                                                                                  ;1902;CEMENTO                                                                                             ;1902007;CEMENTO REFRACTARIO DE ALTA TEMPERATURA CADA BOLSA CON 30 KILOGRAMOS                                
19;CEMENTO CAL Y YESO                                                                                  ;1906;ARENA                                                                                               ;1906004;ARENA FINA (4 MTS3)                                                                                 
19;CEMENTO CAL Y YESO                                                                                  ;1906;ARENA                                                                                               ;1906005;ARENA CORRIENTE CHANCADO (4 MTS3)                                                                   
20;PRODUCTOS DE MATERIALES PLASTICOS                                                                   ;2012;RAMPLUG                                                                                             ;2012012;RAMPLUG N° 8                                                                                        
20;PRODUCTOS DE MATERIALES PLASTICOS                                                                   ;2023;VARIOS                                                                                              ;2023100;BASURERO DE PLASTICO                                                                                
20;PRODUCTOS DE MATERIALES PLASTICOS                                                                   ;2023;VARIOS                                                                                              ;2023178;TAPACANTO PVC                                                                                       
20;PRODUCTOS DE MATERIALES PLASTICOS                                                                   ;2025;CODOS                                                                                               ;2025005;"CODO DE PVC C-9 4""                                                                                  "
21;PRODUCTOS DE METAL                                                                                  ;2119;COPLAS                                                                                              ;2119014;"COPLA GALVANIZADA DE 1/2""                                                                           "
21;PRODUCTOS DE METAL                                                                                  ;2124;"HIERRO ""T""                                                                                          ";2124027;"TEE GALVANIZADO DE 1/2""                                                                             "
