cod_grupo;des_grupo;code_categorie;des_clase;ref;label
01;HILADOS Y TELAS                                                                                     ;0101;HILADOS                                                                                             ;0101010;HUAYPE DE LIMPIEZA                                                                                  
02;CONFECCIONES TEXTILES                                                                               ;0213;CORTINAS                                                                                            ;0213011;CORTINAS ROLLER ECLIPSE (8 PIEZAS 18,74MTS) COLOR G03-003                                           
02;CONFECCIONES TEXTILES                                                                               ;0213;CORTINAS                                                                                            ;0213012;CORTINAS ROLLER ECLIPSE (8 PIEZAS 32,62MTS) COLOR BL-1004                                           
07;PRODUCTOS DE PAPEL Y CARTON                                                                         ;0701;ARCHIVADORES CON MECANISMO                                                                          ;0701003;ARCHIVADOR DE PALANCA LOMO ENTERO T/OFICIO                                                          
07;PRODUCTOS DE PAPEL Y CARTON                                                                         ;0706;CARTULINAS                                                                                          ;0706005;CARTULINA CORRIENTE V/COLORES                                                                       
12;SUSTANCIAS QUIMICAS                                                                                 ;1206;VARIOS                                                                                              ;1206074;LIQUIDO DESINCRUSTANTE (1 LITRO)                                                                    
12;SUSTANCIAS QUIMICAS                                                                                 ;1206;VARIOS                                                                                              ;1206075;SHELLAC                                                                                             
13;COMBUSTIBLES Y LUBRICANTES                                                                          ;1306;GASOLINA                                                                                            ;1306001;GASOLINA ESPECIAL                                                                                   
14;TINTAS PINTURAS Y COLORANTES                                                                        ;1409;TINTES PARA COMBINAR COLORES                                                                        ;1409003;TINTE LATEX COLOR NEGRO (50 ML)                                                                     
14;TINTAS PINTURAS Y COLORANTES                                                                        ;1409;TINTES PARA COMBINAR COLORES                                                                        ;1409004;TINTE LATEX COLOR AZUL (50 ML)                                                                      
16;OTROS MATERIALES QUIMICOS                                                                           ;1602;PEGAMENTOS                                                                                          ;1602031;SILICONA TRANSPARENTE                                                                               
16;OTROS MATERIALES QUIMICOS                                                                           ;1602;PEGAMENTOS                                                                                          ;1602039;SILICONA ROJA                                                                                       
16;OTROS MATERIALES QUIMICOS                                                                           ;1602;PEGAMENTOS                                                                                          ;1602041;PEGAMENTO                                                                                           
16;OTROS MATERIALES QUIMICOS                                                                           ;1605;OTROS                                                                                               ;1605025;FORMOLIMP                                                                                           
20;PRODUCTOS DE MATERIALES PLASTICOS                                                                   ;2012;RAMPLUG                                                                                             ;2012002;RAMPLUG N° 6                                                                                        
20;PRODUCTOS DE MATERIALES PLASTICOS                                                                   ;2023;VARIOS                                                                                              ;2023169;FORMICA                                                                                             
21;PRODUCTOS DE METAL                                                                                  ;2112;CANDADOS                                                                                            ;2112015;CANDADO 50 MM. OREJA LARGA                                                                          
21;PRODUCTOS DE METAL                                                                                  ;2153;CHICOTILLOS METALICOS                                                                               ;2153003;CHICOTILLO RIGIDO CROMADO DE 40 CM.                                                                 
21;PRODUCTOS DE METAL                                                                                  ;2162;VARIOS                                                                                              ;2162150;SOLDADURA DE ESTAÑO                                                                                 
21;PRODUCTOS DE METAL                                                                                  ;2162;VARIOS                                                                                              ;2162164;KIT DE REPARACION A-1038-A 3,5 GPF (DIAFRAGMA DE FLUXOR O FLUXOMETRO)                               
