cod_grupo;des_grupo;code_categorie;des_clase;ref;label
16;OTROS MATERIALES QUIMICOS                                                                           ;1602;PEGAMENTOS                                                                                          ;1602031;SILICONA TRANSPARENTE                                                                               
20;PRODUCTOS DE MATERIALES PLASTICOS                                                                   ;2012;RAMPLUG                                                                                             ;2012002;RAMPLUG N° 6                                                                                        
20;PRODUCTOS DE MATERIALES PLASTICOS                                                                   ;2023;VARIOS                                                                                              ;2023026;LLAVEROS  PLASTICOS                                                                                 
20;PRODUCTOS DE MATERIALES PLASTICOS                                                                   ;2023;VARIOS                                                                                              ;2023162;"CAJA PLASTICA 2 X 4"" P/SOBREPONER                                                                   "
21;PRODUCTOS DE METAL                                                                                  ;2101;ABRAZADERAS                                                                                         ;2101015;ABRAZADERA METALICA PARA TUBO DE 16MM2                                                              
21;PRODUCTOS DE METAL                                                                                  ;2101;ABRAZADERAS                                                                                         ;2101016;ABRAZEDERA METALICA PARA TUBO DE 22MM2                                                              
21;PRODUCTOS DE METAL                                                                                  ;2111;CAJAS                                                                                               ;2111012;CAJA METALICA 4/0 DE PASO OCTOGONAL                                                                 
21;PRODUCTOS DE METAL                                                                                  ;2112;CANDADOS                                                                                            ;2112014;CANDADO DE 50 MM                                                                                    
21;PRODUCTOS DE METAL                                                                                  ;2126;LLAVES DE PASO                                                                                      ;2126017;"LLAVE DE PASO ""FV"" DE 1/2""                                                                          "
21;PRODUCTOS DE METAL                                                                                  ;2141;TORNILLOS                                                                                           ;2141038;"TORNILLO DE ENCARNE 10 X 1""                                                                         "
21;PRODUCTOS DE METAL                                                                                  ;2142;TUBOS                                                                                               ;2142026;TUBO CONDUIT METALICO DE 16MM2 (PIEZA DE 3 METROS)                                                  
21;PRODUCTOS DE METAL                                                                                  ;2142;TUBOS                                                                                               ;2142027;TUBO CONDUIT METALICO DE 22MM2 (PIEZA DE TRES METROS)                                               
21;PRODUCTOS DE METAL                                                                                  ;2159;LLAVES                                                                                              ;2159011;LLAVES EN BLANCO                                                                                    
21;PRODUCTOS DE METAL                                                                                  ;2162;VARIOS                                                                                              ;2162164;KIT DE REPARACION A-1038-A 3,5 GPF (DIAFRAGMA DE FLUXOR O FLUXOMETRO)                               
21;PRODUCTOS DE METAL                                                                                  ;2162;VARIOS                                                                                              ;2162179;CURVAS PARA TUBO CONDUIT METALICO DE 16MM2                                                          
21;PRODUCTOS DE METAL                                                                                  ;2162;VARIOS                                                                                              ;2162181;CONECTORES PARA TUBO CONDUIT METALICO DE 22MM2                                                      
21;PRODUCTOS DE METAL                                                                                  ;2168;VARIOS                                                                                              ;2168011;CONECTORES PARA TUBO CONDUIT METALICO DE 16MM2                                                      
21;PRODUCTOS DE METAL                                                                                  ;2170;GRIFOS                                                                                              ;2170001;GRIFERIA MEZCLADORA DE MESON PARA LAVAMANOS DE PICO LARGO                                           
28;UTILES DE ESCRITORIO Y OFICINA                                                                      ;2868;TONNERS VARIOS                                                                                      ;2868026;TONNER HP C4127X                                                                                    
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2906;CABLES                                                                                              ;2906169;CABLE MONOPOLAR DE CU MULTIFILAR 2.5 MM2.                                                           
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2906;CABLES                                                                                              ;2906172;CABLE MONOPOLAR DE COBRE MULTIFILAR 1X4 MM2                                                         
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2906;CABLES                                                                                              ;2906173;CABLE MONOPOLAR DE COBRE MULTIFILAR 1X2,5 MM2                                                       
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2914;FOCOS                                                                                               ;2914081;FOCO CLARO INCANDECENTE E-27 DE 60 W 220 V                                                          
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2914;FOCOS                                                                                               ;2914087;FOCO DICROICO 50W - 220V                                                                            
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2920;LAMPARAS                                                                                            ;2920020;LAMPARA PIN HM-70W LUZ BLANCA DOBLE CONTACTO                                                        
29;UTILES Y MATERIALES ELECTRICOS                                                                      ;2925;REACTANCIAS                                                                                         ;2925027;REACTANCIA ELECTRONICA 2X20W/220-240V                                                               
