Ref.* (p.ref)|Etiqueta* (p.label)|Descripción (p.description)|URL pública (p.url)|Código contable ventas (p.accountancy_code_sell)|Código contable compras (p.accountancy_code_buy)|Nota (p.note)|Length (p.length)|Surface (p.surface)|Volume (p.volume)|Weight (p.weight)|Duración (p.duration)|Código aduanero (p.customcode)|PVP sin IVA (p.price)|PVP con IVA (p.price_ttc)|IVA (p.tva_tx)|En venta* (p.tosell)|En compra* (p.tobuy)|Tipo* (p.fk_product_type)|Naturaleza (p.finished)|Fecha de creación (p.datec)|Stock límite para alertas (p.seuil_stock_alerte)|Stock óptimo deseado (p.desiredstock)|Valor (PMP) (p.pmp)|CostPrice (p.cost_price)
01AA001|HORMIGON R150|M3||||||||||||557,92752||1|1|0||||||
01AA002|HORMIGON R210|M3||||||||||||1039,3368||1|1|0||||||
01AA003|HORMIGON R280 (SIN ENCOFRADO)|M3||||||||||||712,0776||1|1|0||||||
01AA004|HORMIGON 21 MPA|M3||||||||||||1039,3368||1|1|0||||||
01AA005|LASTRE DE HORMIGON 11 MPA|M3||||||||||||594,036||1|1|0||||||
01BA001|MORTERO DE CEMENTO|M3||||||||||||423,516||1|1|0||||||
01CA001|CEMENTO PORTLAND|KG||||||||||||0,88392||1|1|0||||||
01CA002|CEMENTO ALTA RESISTENCIA 50 KG|BLS||||||||||||41,76||1|1|0||||||
01CA003|FILLER (CEMENTO)|KG||||||||||||0,8352||1|1|0||||||
01CB001|CEMENTO PUZOLAMICO|KG||||||||||||0,7656||1|1|0||||||
01CD001|CEMENTO ASFALTICO|TON||||||||||||3702,72||1|1|0||||||
01CD002|CONCRETO ASFALTICO|M3||||||||||||3702,72||1|1|0||||||
01CD003|CEMENTO ASFALTICO (CALENTADO) LTS|LT||||||||||||3,22248||1|1|0||||||
01CD004|CEMENTO ASFALTICO 85-100|LT||||||||||||3,22248||1|1|0||||||
01CD101|ASFALTO DILUIDO|LT||||||||||||0||1|1|0||||||
01CD102|MEZCLA ASFALTICA EN CALIENTE|M3||||||||||||154,0944||1|1|0||||||
01CD103|MEZCLA ASFALTICA P/BACHEO (EN CALIENTE)|M3||||||||||||154,0944||1|1|0||||||
01CD104|MEZCLA ASF. P/BACHEO (EN FRIO)|M3||||||||||||0||1|1|0||||||
01CD105|EMULSION ASFALTICA|LT||||||||||||0||1|1|0||||||
01CD111|ASFALTO DILUIDO MC- 30|LT||||||||||||0||1|1|0||||||
01CD112|ASFALTO DILUIDO MC- 70|LT||||||||||||3,132||1|1|0||||||
01CD113|ASFALTO DILUIDO MC-250|LT||||||||||||0||1|1|0||||||
01CD114|ASFALTO DILUIDO MC-800|LT||||||||||||0||1|1|0||||||
01CD121|ASFALTO DILUIDO RC- 70|LT||||||||||||0||1|1|0||||||
