cod_grupo;des_grupo;code_categorie;des_clase;ref;label
01;HILADOS Y TELAS                                                                                     ;0101;HILADOS                                                                                             ;0101003;PITA BLANCA                                                                                         
02;CONFECCIONES TEXTILES                                                                               ;0212;VARIOS                                                                                              ;0212006;REPASADORES DE HILO                                                                                 
03;PRENDAS DE VESTIR                                                                                   ;0305;PARKAS                                                                                              ;0305006;PARKAS DE TRABAJO                                                                                   
05;PAPEL DE ESCRITORIO                                                                                 ;0503;PAPEL DE ESCRITORIO                                                                                 ;0503063;PAPEL COUCHE 250 GRS. 77X110 CM.                                                                    
05;PAPEL DE ESCRITORIO                                                                                 ;0503;PAPEL DE ESCRITORIO                                                                                 ;0503074;PAPEL BOND TAMAÑO CARTA                                                                             
05;PAPEL DE ESCRITORIO                                                                                 ;0503;PAPEL DE ESCRITORIO                                                                                 ;0503089;PAPEL BOND TAMAÑO OFICIO                                                                            
05;PAPEL DE ESCRITORIO                                                                                 ;0503;PAPEL DE ESCRITORIO                                                                                 ;0503098;PAPEL KRAFT TAMAÑO RESMA DE 90 GRAMOS                                                               
05;PAPEL DE ESCRITORIO                                                                                 ;0503;PAPEL DE ESCRITORIO                                                                                 ;0503121;PAPEL BOND 63 GRS (67 X 87 CMS)                                                                     
05;PAPEL DE ESCRITORIO                                                                                 ;0503;PAPEL DE ESCRITORIO                                                                                 ;0503127;PAPEL BOND TAMAÑO RESMA 75 GRS. 67X87 CM. (500 HOJAS)                                               
05;PAPEL DE ESCRITORIO                                                                                 ;0503;PAPEL DE ESCRITORIO                                                                                 ;0503132;PAPEL PERIODICO (SABANA T/RESMA)                                                                    
05;PAPEL DE ESCRITORIO                                                                                 ;0503;PAPEL DE ESCRITORIO                                                                                 ;0503133;PAPEL KRAFT 80 GRS. T/RESMA                                                                         
05;PAPEL DE ESCRITORIO                                                                                 ;0504;FORMULARIOS CONTINUOS                                                                               ;0504002;PAPEL CONTINUO  9 1/2 X 11 X 1 P.                                                                   
06;PRODUCTOS DE ARTES GRAFICAS                                                                         ;0603;CUADERNO                                                                                            ;0603001;CUADERNO C/ESPIRAL PEQUEÑO                                                                          
06;PRODUCTOS DE ARTES GRAFICAS                                                                         ;0603;CUADERNO                                                                                            ;0603002;CUADERNO C/ESPIRAL OFICIO                                                                           
06;PRODUCTOS DE ARTES GRAFICAS                                                                         ;0603;CUADERNO                                                                                            ;0603003;CUADERNO EMPASTADO OFICIO                                                                           
06;PRODUCTOS DE ARTES GRAFICAS                                                                         ;0603;CUADERNO                                                                                            ;0603004;CUADERNO EMPASTADO PEQUEÑO                                                                          
06;PRODUCTOS DE ARTES GRAFICAS                                                                         ;0606;PAPEL CARBONICO Y OTROS                                                                             ;0606013;PAPEL AUTOADHESIVO COLORES (JAC MATE)                                                               
06;PRODUCTOS DE ARTES GRAFICAS                                                                         ;0606;PAPEL CARBONICO Y OTROS                                                                             ;0606016;PAPEL AUTOADHESIVO TRANSPARENTE (JAC MATE)                                                          
06;PRODUCTOS DE ARTES GRAFICAS                                                                         ;0606;PAPEL CARBONICO Y OTROS                                                                             ;0606025;PAPEL AUTOADHESIVO BLANCO MATE 50 X 70 CM                                                           
06;PRODUCTOS DE ARTES GRAFICAS                                                                         ;0606;PAPEL CARBONICO Y OTROS                                                                             ;0606026;"CINTA MASKIN 1"" (25 YDS)                                                                            "
06;PRODUCTOS DE ARTES GRAFICAS                                                                         ;0613;VARIOS                                                                                              ;0613001;FORMULARIO DE AFILIACION CBES                                                                       
06;PRODUCTOS DE ARTES GRAFICAS                                                                         ;0613;VARIOS                                                                                              ;0613016;FORMULARIO DE ALTA DE BENEFICIARIO                                                                  
06;PRODUCTOS DE ARTES GRAFICAS                                                                         ;0613;VARIOS                                                                                              ;0613017;FORMULARIO DE BAJA DE BENEFICIARIO                                                                  
06;PRODUCTOS DE ARTES GRAFICAS                                                                         ;0613;VARIOS                                                                                              ;0613018;FORMULARIO DE LIQUIDACION MENSUAL DE APORTES                                                        
06;PRODUCTOS DE ARTES GRAFICAS                                                                         ;0615;PAPEL AUTOADHESIVO                                                                                  ;0615003;PAPEL AUTOADHESIVO 192 GRS. 70 X 100 CM.                                                            
07;PRODUCTOS DE PAPEL Y CARTON                                                                         ;0701;ARCHIVADORES CON MECANISMO                                                                          ;0701003;ARCHIVADOR DE PALANCA LOMO ENTERO T/OFICIO                                                          
07;PRODUCTOS DE PAPEL Y CARTON                                                                         ;0701;ARCHIVADORES CON MECANISMO                                                                          ;0701004;ARCHIVADOR DE PALANCA MEDIO LOMO T/OFICIO                                                           
07;PRODUCTOS DE PAPEL Y CARTON                                                                         ;0706;CARTULINAS                                                                                          ;0706005;CARTULINA CORRIENTE V/COLORES                                                                       
07;PRODUCTOS DE PAPEL Y CARTON                                                                         ;0706;CARTULINAS                                                                                          ;0706048;CARTULINA DE 216 GRS DE 58.4 X 88.9 CM (GLACIER MIST)                                               
07;PRODUCTOS DE PAPEL Y CARTON                                                                         ;0706;CARTULINAS                                                                                          ;0706070;CARTULINA CORRIENTE DE COLOR AMARILLO DE 180 GRS. (50 X 65 CM.)                                     
07;PRODUCTOS DE PAPEL Y CARTON                                                                         ;0707;PAPEL HIGIENICO                                                                                     ;0707005;TOALLA DE PAPEL                                                                                     
07;PRODUCTOS DE PAPEL Y CARTON                                                                         ;0707;PAPEL HIGIENICO                                                                                     ;0707009;PAPEL HIGIENICO HOJA SIMPLE DE 500 METROS                                                           
07;PRODUCTOS DE PAPEL Y CARTON                                                                         ;0707;PAPEL HIGIENICO                                                                                     ;0707010;PAPEL HIGIENICO HOJA DOBLE DE 250 METROS                                                            
07;PRODUCTOS DE PAPEL Y CARTON                                                                         ;0710;SOBRES                                                                                              ;0710004;SOBRE BLANCO T/ESQUELA                                                                              
07;PRODUCTOS DE PAPEL Y CARTON                                                                         ;0710;SOBRES                                                                                              ;0710007;SOBRE MANILA GRANDE                                                                                 
07;PRODUCTOS DE PAPEL Y CARTON                                                                         ;0710;SOBRES                                                                                              ;0710010;SOBRE MANILA TAMAÑO OFICIO                                                                          
07;PRODUCTOS DE PAPEL Y CARTON                                                                         ;0710;SOBRES                                                                                              ;0710011;SOBRE MANILA 1/2 OFICIO                                                                             
07;PRODUCTOS DE PAPEL Y CARTON                                                                         ;0710;SOBRES                                                                                              ;0710018;SOBRE MANILA TAMAÑO CARTA                                                                           
12;SUSTANCIAS QUIMICAS                                                                                 ;1204;REVELADORES                                                                                         ;1204024;REVELADOR DN-5H (BIDON DE 9,5 LITROS)                                                               
12;SUSTANCIAS QUIMICAS                                                                                 ;1204;REVELADORES                                                                                         ;1204026;RENAL ALEMAN                                                                                        
12;SUSTANCIAS QUIMICAS                                                                                 ;1206;VARIOS                                                                                              ;1206075;SHELLAC                                                                                             
12;SUSTANCIAS QUIMICAS                                                                                 ;1206;VARIOS                                                                                              ;1206076;MASILLA PL                                                                                          
12;SUSTANCIAS QUIMICAS                                                                                 ;1206;VARIOS                                                                                              ;1206077;SOLVENTE                                                                                            
12;SUSTANCIAS QUIMICAS                                                                                 ;1207;VARIOS - MANTENIMIENTO                                                                              ;1207013;SELLADOR SIKAFLEX 1 - A                                                                             
13;COMBUSTIBLES Y LUBRICANTES                                                                          ;1301;ACEITES                                                                                             ;1301046;ACEITE MINERAL OMALA S2  G 680                                                                      
13;COMBUSTIBLES Y LUBRICANTES                                                                          ;1301;ACEITES                                                                                             ;1301047;ACEITE MINERAL TELLUS S - 32                                                                        
13;COMBUSTIBLES Y LUBRICANTES                                                                          ;1305;GAS                                                                                                 ;1305004;GAS NATURAL VEHICULAR (GNV)                                                                         
13;COMBUSTIBLES Y LUBRICANTES                                                                          ;1305;GAS                                                                                                 ;1305007;GAS NATURAL COMPRIMIDO (GNC)                                                                        
13;COMBUSTIBLES Y LUBRICANTES                                                                          ;1306;GASOLINA                                                                                            ;1306001;GASOLINA ESPECIAL                                                                                   
13;COMBUSTIBLES Y LUBRICANTES                                                                          ;1307;PRODUCTOS QUIMICOS                                                                                  ;1307003;LIMPIADOR DESENGRASANTE BLASTER 311 GRS.                                                            
14;TINTAS PINTURAS Y COLORANTES                                                                        ;1401;PINTURAS                                                                                            ;1401074;PINTURA  AL DUCO COLOR CAFE                                                                         
14;TINTAS PINTURAS Y COLORANTES                                                                        ;1401;PINTURAS                                                                                            ;1401075;PINTURA AL DUCO (GALON DE 2/4)                                                                      
14;TINTAS PINTURAS Y COLORANTES                                                                        ;1403;TINTAS PARA IMPRENTA                                                                                ;1403028;TINTA PANTONE REFLEX AZUL                                                                           
14;TINTAS PINTURAS Y COLORANTES                                                                        ;1409;TINTES PARA COMBINAR COLORES                                                                        ;1409002;TINTE LATEX COLOR ROJO (50 ML)                                                                      
14;TINTAS PINTURAS Y COLORANTES                                                                        ;1409;TINTES PARA COMBINAR COLORES                                                                        ;1409003;TINTE LATEX COLOR NEGRO (50 ML)                                                                     
15;PRODUCTOS MEDICINALES Y FARMACEUTICOS                                                               ;1504;OTROS                                                                                               ;1504022;RECARGA DE CILINDRO DE OXIGENO MEDICINAL (6M3)                                                      
15;PRODUCTOS MEDICINALES Y FARMACEUTICOS                                                               ;1504;OTROS                                                                                               ;1504023;RECARGA DE CILINDRO DE OXIGENO MEDICINAL (2M3)                                                      
16;OTROS MATERIALES QUIMICOS                                                                           ;1601;AMBIENTADORES SPRAY                                                                                 ;1601008;AMBIENTADOR EN SPRAY                                                                                
16;OTROS MATERIALES QUIMICOS                                                                           ;1602;PEGAMENTOS                                                                                          ;1602019;PLASTICOLA                                                                                          
