cod_pais;fk_region;dpto;code_departement;nom
BO;30101;Departamento de Chuquisaca;BO-001;Belisario Boeto
BO;30101;Departamento de Chuquisaca;BO-002;Hernando Siles
BO;30101;Departamento de Chuquisaca;BO-003;Jaime Zudáñez
BO;30101;Departamento de Chuquisaca;BO-004;Juana Azurduy de Padilla
BO;30101;Departamento de Chuquisaca;BO-005;Luis Calvo
BO;30101;Departamento de Chuquisaca;BO-006;Nor Cinti
BO;30101;Departamento de Chuquisaca;BO-007;Oropeza
BO;30101;Departamento de Chuquisaca;BO-008;Sud Cinti
BO;30101;Departamento de Chuquisaca;BO-009;Tomina
BO;30101;Departamento de Chuquisaca;BO-010;Yamparáez
BO;30102;Departamento de La Paz;BO-011;Abel Iturralde
BO;30102;Departamento de La Paz;BO-012;Aroma
BO;30102;Departamento de La Paz;BO-013;Bautista Saavedra
BO;30102;Departamento de La Paz;BO-014;Caranavi
BO;30102;Departamento de La Paz;BO-015;Eliodoro Camacho
BO;30102;Departamento de La Paz;BO-016;Franz Tamayo
BO;30102;Departamento de La Paz;BO-017;Gualberto Villarroel
BO;30102;Departamento de La Paz;BO-018;Ingaví
BO;30102;Departamento de La Paz;BO-019;Inquisivi
BO;30102;Departamento de La Paz;BO-020;José Ramón Loayza
BO;30102;Departamento de La Paz;BO-021;Larecaja
BO;30102;Departamento de La Paz;BO-022;Los Andes (Bolivia)
BO;30102;Departamento de La Paz;BO-023;Manco Kapac
BO;30102;Departamento de La Paz;BO-024;Muñecas
BO;30102;Departamento de La Paz;BO-025;Nor Yungas
BO;30102;Departamento de La Paz;BO-026;Omasuyos
BO;30102;Departamento de La Paz;BO-027;Pacajes
BO;30102;Departamento de La Paz;BO-028;Pedro Domingo Murillo
BO;30102;Departamento de La Paz;BO-029;Sud Yungas
BO;30102;Departamento de La Paz;BO-030;General José Manuel Pando
BO;30103;Departamento de Cochabamba;BO-031;Arani
BO;30103;Departamento de Cochabamba;BO-032;Arque
BO;30103;Departamento de Cochabamba;BO-033;Ayopaya
BO;30103;Departamento de Cochabamba;BO-034;Bolívar (Bolivia)
BO;30103;Departamento de Cochabamba;BO-035;Campero
BO;30103;Departamento de Cochabamba;BO-036;Capinota
BO;30103;Departamento de Cochabamba;BO-037;Cercado (Cochabamba)
BO;30103;Departamento de Cochabamba;BO-038;Esteban Arze
BO;30103;Departamento de Cochabamba;BO-039;Germán Jordán
BO;30103;Departamento de Cochabamba;BO-040;José Carrasco
BO;30103;Departamento de Cochabamba;BO-041;Mizque
BO;30103;Departamento de Cochabamba;BO-042;Punata
BO;30103;Departamento de Cochabamba;BO-043;Quillacollo
BO;30103;Departamento de Cochabamba;BO-044;Tapacarí
BO;30103;Departamento de Cochabamba;BO-045;Tiraque
BO;30103;Departamento de Cochabamba;BO-046;Chapare
BO;30104;Departamento de Oruro;BO-047;Carangas
BO;30104;Departamento de Oruro;BO-048;Cercado (Oruro)
BO;30104;Departamento de Oruro;BO-049;Eduardo Avaroa
BO;30104;Departamento de Oruro;BO-050;Ladislao Cabrera
BO;30104;Departamento de Oruro;BO-051;Litoral de Atacama
BO;30104;Departamento de Oruro;BO-052;Mejillones
BO;30104;Departamento de Oruro;BO-053;Nor Carangas
BO;30104;Departamento de Oruro;BO-054;Pantaleón Dalence
BO;30104;Departamento de Oruro;BO-055;Poopó
BO;30104;Departamento de Oruro;BO-056;Sabaya
BO;30104;Departamento de Oruro;BO-057;Sajama
BO;30104;Departamento de Oruro;BO-058;San Pedro de Totora
BO;30104;Departamento de Oruro;BO-059;Saucarí
BO;30104;Departamento de Oruro;BO-060;Sebastián Pagador
BO;30104;Departamento de Oruro;BO-061;Sud Carangas
BO;30104;Departamento de Oruro;BO-062;Tomás Barrón
BO;30105;Departamento de Potosí;BO-063;Alonso de Ibáñez
BO;30105;Departamento de Potosí;BO-064;Antonio Quijarro
BO;30105;Departamento de Potosí;BO-065;Bernardino Bilbao
BO;30105;Departamento de Potosí;BO-066;Charcas (Potosí)
BO;30105;Departamento de Potosí;BO-067;Chayanta
BO;30105;Departamento de Potosí;BO-068;Cornelio Saavedra
BO;30105;Departamento de Potosí;BO-069;Daniel Campos
BO;30105;Departamento de Potosí;BO-070;Enrique Baldivieso
BO;30105;Departamento de Potosí;BO-071;José María Linares
